병명,정의,원인,진단,치료,진료과
소건막류(Bunionette),소건막류는 새끼발가락의 뿌리 관절이 엄지발가락 쪽으로 휘면서 튀어나온 부분이 신발에 닿아 걷거나 설 때 통증이 발생하는 질환을 의미합니다. 이 질환은 엄지발가락이 튀어나온 무지외반증과 동반되는 경우가 많습니다. ,"소건막류는 선천적으로 발의 볼이 넓거나, 후천적으로 자신의 발 볼보다 좁은 신발이나 굽이 높은 신발을 지속적으로 신어서 발생합니다. 그 외에 선천적으로 새끼발가락의 모양에 이상이 있거나 양반다리를 많이 하면 발생할 수 있습니다.",소건막류는 발가락의 외형을 관찰하는 것으로 진단합니다. 필요하다면 X-ray 촬영을 시행하기도 합니다.,"소건막류의 치료 방법은 보존적인 방법과 수술적인 방법이 있습니다. 보존적인 방법은 편한 신발을 신고 신발 속에 특수 깔창이나 패드를 넣는 것입니다. 증상이 심하지 않다면 보존적인 방법만으로도 통증이 많이 줄어듭니다. 다만 이 방법은 근본적인 치료 방법이 아닙니다. 통증이 계속된다면, 튀어나온 뼈를 절제하거나 관절 윗부분에서 새끼발가락을 안으로 밀어 넣는 수술을 시행해야 합니다. 수술 이후 4주 정도는 특수 신발을 착용해야 합니다.",정형외과
소변 정체(Retention of urine),소변 정체는 소변을 보려고 해도 전혀 소변을 보지 못하는 상태를 의미합니다. 정상인의 방광이 수용할 수 있는 소변의 최대량은 450~500cc 정도입니다. 소변 정체는 방광의 수축력 손상이나 방광 출구 폐색으로 인해 방광의 최대 용적을 넘어도 소변을 보지 못하는 증세를 말합니다. ,"소변 정체의 원인은 배뇨가 시작되지 않는 것, 방광의 수축력이 떨어지는 것, 방광의 출구가 막히는 것으로 구분됩니다.  당뇨와 같은 만성 전신 질환, 방광의 만성 허혈, 방광의 감각 및 운동 신경에 영향을 줄 수 있는 신경계 질환이 있는 사람, 전립선 비대증이 있는 사람, 전신마취 수술을 받은 직후인 입원 환자, 60세 이상의 노인 등에게서 소변 정체가 많이 발생합니다.  술, 항히스타민제(감기약, 알레르기 약)나 교감신경 약물은 방광의 수축력을 떨어뜨리고, 요도의 근육을 수축시켜 소변 정체를 유발할 수 있습니다.","소변 정체는 하복부가 팽만하고 초음파 검사에서 방광이 다량의 소변으로 가득 차 있는 것이 확인되지만 소변이 나오지 않는 것을 기준으로 진단합니다.  소변 정체의 진단에는 환자의 주관적인 증상이 중요하지만, 심리적인 문제가 원인인 경우도 있습니다. 따라서 방광 내 잔뇨를 측정하여 정확하게 소변 정체를 진단하는 것이 중요합니다.  ","① 소변 정체가 있으면 응급처치법으로 요도를 통해 도뇨관을 삽입하거나, 치골 상부를 통해 방광에 직접 도뇨관을 삽입하여 인위적으로 소변을 빼내야 합니다.  ② 소변 정체는 방광 점막 및 근육에 일시적인 손상이 있는 상태를 의미합니다. 이 때문에 정체된 소변량에 따라 방광이 정상적인 기능을 회복할 때까지 도뇨관을 유치합니다.  ③ 방광의 수축력을 향상시키는 약물과 요도를 이완시키는 약물을 함께 복용할 수 있습니다.  ④ 도뇨관을 제거한 후에도 소변 정체가 재발할 수 있으므로 주의해서 관찰해야 합니다.  ⑤ 과도한 이뇨가 일어나 저혈압이나 저체액량증에 빠질 수 있습니다. 소변 정체가 해소된 후 수 시간 동안 활력 징후, 소변량, 전해질 등을 감시해야 합니다.  ⑥ 소변 정체가 일어난 원인을 파악하고, 교정할 수 있는 부분을 치료해야 합니다. 전립선 비대증에 의해 소변 정체가 발생한 경우, 전립선 비대증에 대한 수술을 시행할 수 있습니다.",비뇨의학과
소세포성 폐암(Small cell lung cancer),폐암은 조직형에 따라서 소세포성 폐암과 비소세포성 폐암(소세포성 폐암이 아닌 폐암)으로 구분합니다. 이렇게 폐암을 두 가지로 구분하는 이유는 소세포성 폐암이 다른 폐암과는 치료 방법이나 경과 면에서 확연히 다르기 때문입니다. ,폐암의 원인은 대부분 조직형을 불문하고 흡연인 경우가 많습니다. 소세포성 폐암의 원인도 흡연인 경우가 가장 흔합니다. 흡연을 전혀 하지 않은 사람에게 발생하는 폐암은 전체 폐암의 18%를 차지합니다. 하지만 소세포성 폐암은 흡연하지 않은 사람에게 발생하는 폐암 중에서는 극히 드문 조직형입니다. ,"폐암은 여러 가지 검사를 통해 진단합니다. 폐암으로 의심되는 증상이 있으면 흉부 X-ray 촬영, 흉부 전산화 단층촬영(CT), 객담 검사, 기관지 내시경 검사, 경피적 세침 생검술 등을 시행하여 폐암 여부와 진행 정도 등을 판단합니다. 최종 진단은 객담, 기관지 내시경 검사, 경피적 미세침흡인세포 검사에서 얻은 조직, 세포에 대한 현미경적 검사를 통해 이루어집니다. ","소세포 폐암은 매우 빠르게 자라며 전신으로 전이되는 암입니다. 대부분 수술이 불가능합니다. 항암 화학 요법 및 방사선 치료에 대한 반응은 매우 좋습니다. 제한성 병기에는 항암-방사선 병용 요법으로 치료합니다. 확장성 병기에는 항암 화학 요법으로 치료합니다. 항암 화학 요법 및 방사선 치료를 시행하여 폐암을 제거한다면, 재발을 방지하기 위해서는 예방적 뇌 방사선 치료를 시행합니다.","종양내과, 호흡기내과, 방사선종양학과, 심장혈관흉부외과"
소아 류마티스 관절염(Juvenile rheumatoid arthritis),"소아 류마티스 관절염은 16세 이전에 발생하는 만성 관절염입니다. 이는 6주 이상 계속되며, 어른과 달리 손가락 마디와 같은 작은 관절보다는 무릎, 발목과 같은 커다란 관절에 대한 침범이 흔하게 나타납니다.  소아 류마티스 관절염의 종류는 다음과 같습니다.  ① 전신형 소아 류마티스 관절염이 관절염의 특징은 고열, 피부 발진, 내부 장기의 염증입니다. 이 관절염은 어린이가 걸리는 관절염 중 10% 정도를 차지합니다.  ② 소수형 소아 류마티스 관절염5개 이하의 관절을 침범하는 관절염입니다. 이 관절염은 어린이가 걸리는 관절염의 50% 정도를 차지합니다. 다른 소아 관절염보다 더 어린 연령대에 발생합니다. 일부 환자는 유아기 때 발생하거나 아주 어린 시절에 발생하여 증상을 호소하지 못하므로 조기에 진단하기 어려운 경우가 있습니다. 걸음을 시작하는 시기에 다른 정상아들과 달리 걷지 않으려고 하거나 걸음걸이가 이상하다면 검사를 받아야 합니다. 이 관절염은 눈을 빈번하게 침범하므로 환아가 눈의 불편감을 호소하지 않더라도 실명을 예방하기 위해 규칙적으로 안과 검사를 받아야 합니다.  ③ 다발형 소아 류마티스 관절염5개 이상의 관절을 침범하는 관절염입니다. 일부 관절염은 어른에게 발생하는 류마티스 관절염과 유사한 양상을 보이기도 합니다. ","소아 류마티스 관절염의 정확한 원인은 아직 모릅니다. 남아보다 여아에게 2~3배 정도 많이 발생합니다. 이 관절염은 감염, 자가면역성 질환, 신체적 부상, 스트레스와 관련이 있다고 추정됩니다.  ","소아 류마티스 관절염은 혈액 검사를 통한 적혈구 침강 속도, 혈액 배양 검사, 일반 화학 검사, C-반응단백, 복부 초음파, 흉부와 골격 방사선검사, 골수 생검, Gallium 스캔, 심초음파 검사, 그 외 필요한 부위의 CT, MRI 등을 통해 진단합니다. 성인 류마티스 관절염 환자에게 흔하게 관찰되는 류마티스 인자가 어린이 환자에서는 음성으로 나오는 경우가 많고, X-ray 상에서도 변화가 보이지 않는 경우가 있습니다. 이 때문에 X-ray나 류마티스 인자가 소아 류마티스 관절염에 대한 절대적인 판단 기준이 되지 않습니다.","소아 류마티스 관절염은 완치되기 어렵습니다. 다만 70~90% 정도의 환아는 심한 장애 없이 생활할 수 있습니다. 10% 정도는 성인이 되어서도 기능적 장애가 남습니다. 치료 목표는 통증을 조절하고 관절의 움직임을 유지하며 근육의 강도와 기능을 유지하고 전신적인 합병증을 예방하여 정상적인 영양 상태와 신체·정신적 발달을 촉진하는 것입니다. 치료는 약물 치료, 물리 치료, 수술적 치료로 구분됩니다.  1. 약물 치료① 소염진통제증상을 완화하려는 목적에서 사용합니다. 주로 이부프로펜, 나프록센, 톨메틴 등을 사용합니다.  ② 부신피질 스테로이드제전신형 소아 류마티스 관절염인 경우, 전신 증상의 조절, 관절염의 조절, 만성 포도막염의 치료, 관절강 내 주사용을 목적으로 부신피질 스테로이드제를 사용합니다.  ③ 항류마티스제성인에게 사용하는 항류머티스제를 씁니다. 하지만 이 약물의 안전성에 대한 정보가 적어 신중히 사용해야 합니다. 이 약물에는 항말라리아제, 설파살라진, 경구용 또는 주사용 금제제, 페니실라민 등이 있습니다. 항류마티스제는 단독으로 사용할 수도 있으나, 단독 요법에 반응하지 않는다면 2~3가지 약제를 같이 사용하는 병합 요법을 시행하기도 합니다.  ④ 면역 억제제엠티엑스, 아자씨오프린, 사이클로스로린, 사이클로포스파마이드, 클로람부실 등이 있습니다.2. 물리치료 요법통증을 조절하기 위한 열 치료와 냉 치료가 있습니다. 관절 기능을 유지하기 위한 스프린트와 운동 요법이 있습니다. 적절한 휴식과 운동을 위한 균형 잡힌 신체 운동과 자전거, 수영과 같은 스포츠 활동이 있습니다.3. 수술적 요법나이가 많은 소아인데 관절이 굳어지거나 부분적인 탈구가 발생하면, 이를 치료하려는 목적에서 수술을 시행합니다. 관절 성형술을 목적으로 시행하기도 합니다. 어린 소아의 경우에는 일반적으로 골 성장이 멈출 때까지 수술을 기다리는 것이 좋습니다. 이외에 소아의 영양 상태를 유지하기 위한 영양 상담, 정신적인 지지 요법, 지역 사회나 학교에서의 생활을 위한 지원 등이 필요합니다.","소아정형외과, 류마티스내과"
소아마비(Polio),"소아마비는 주로 소아의 뇌, 척수와 같은 중추신경계 중 특히 운동을 담당하는 부분에 폴리오(polio)라는 장 바이러스(enterovirus)에 의한 급성 감염이 발생하여 뇌신경 조직이 손상되면서 일시적 혹은 영구적인 신체 마비와 변형이 생기는 질환입니다.","소아마비의 원인은 폴리오(polio)라는 바이러스에 감염되는 것입니다. 폴리오 바이러스는 장 바이러스의 일종으로, 3가지 혈청형이 있습니다.","소아마비 예방 접종을 하지 않거나 불완전하게 시행한 소아에게 발열, 무균성 뇌막염, 이완성 마비 질환이 나타나면, 소아마비를 의심해야 합니다. 분변, 비인두 분비물 등에서 바이러스를 배양하여 폴리오 바이러스가 검출되는지 확인합니다. 예방 접종이 효과적으로 시행되면서 소아마비의 발생률이 감소하였습니다. 현재 소아마비는 거의 자취를 감추었습니다.","소아마비는 병기에 따라 치료 방법이 달라집니다. 소아마비는 병이 시작하는 급성기, 병에서 회복하는 회복기, 후유증 등 병의 흔적이 남는 잔유기로 구분됩니다. 급성기에는 신체에 나타나는 증세에 대한 약물 치료 및 대증 치료를 시행합니다. 환자를 비교적 딱딱한 침대 위에 팔다리를 바르게 하여 눕히고 절대 안정을 시킵니다. 이때 장딴지의 바깥쪽에 있는 인대는 주로 다리를 변형시키는 데 작용합니다. 다리를 바르게 위치하도록 하는 것이 중요합니다. 자극에 예민한 반응을 보여 보조기를 사용하기는 어렵습니다. 가벼운 관절 운동이나 뜨거운 찜질이 도움이 됩니다. 회복기에는 팔다리 변형을 막고, 관절 운동을 회복시키고, 근육에 대한 재활을 시행하는 데 중점을 둡니다. 잔유기에는 근육의 힘을 키우기 위해 물리 치료와 보조기 착용 등을 시행하여 치료합니다.",어린이병원
소아청소년기 우울증(Depression in childhood and adolescence),"어린이의 우울증은 흔하지 않지만, 그렇다고 해서 우울증이 없는 것은 아닙니다. 요즘 아이들은 과거와 달리 많은 스트레스 속에서 자라고 있으며, 우울증을 앓는 아이도 나타나고 있습니다. 아동청소년은 우울하더라도 스스로 힘든 부분을 이야기하기 어려워하기 때문에 이 우울감이 신체적 증상, 비행, 공격적 행동으로 나타나는 경우가 많습니다.  2005년에 서울시 소아청소년 정신보건센터에서 시행한 역학 조사에 따르면, 부모를 통해 진단한 아동청소년기의 우울증은 0.86%였으나, 아동청소년이 스스로 보고한 우울증은 7.37%였습니다. 두 수치 간에는 10배가량의 차이가 나타났습니다. 이는 우리나라 부모들은 아동청소년의 우울 증상을 정확히 모르고 있을 가능성이 크다는 것을 의미합니다.",,"부모와 아이를 직접 면담하고, 필요하다면 심리 검사를 시행하여 우울증을 진단합니다.","아동청소년의 우울증에 대하여 치료 효과가 확립된 것은 항우울제를 사용한 약물 치료와 인지행동 치료, 대인관계 치료입니다. 항우울제는 신경호르몬을 조절하여 우울 증상을 개선합니다. 항우울제는 습관성이나 부작용이 없으며 부작용도 거의 없는 안전한 약입니다. 약물 치료를 시행하여 우울 증상에 호전이 있더라도 약물 복용을 바로 끊지 않고 9~12개월 정도 유지 치료를 시행하는 것이 필요합니다.  우울증에서 중요하게 생각해야 할 부분은 자살의 위험성입니다. 아동청소년의 자살이 항상 우울증과 연관되는 것은 아니고, 우울하다고 항상 자살에 대한 생각을 하는 것도 아닙니다. 아동청소년이 자살을 이야기하거나 자살을 기도한다면, 가족은 아이의 이야기를 잘 들어주고 24시간 아이를 관찰해야 합니다. 그리고 반드시 소아청소년 정신과를 방문하여 아이가 적절한 평가와 치료를 받도록 해야 합니다.",소아정신건강의학과
소양증(Pruritus),"소양증은 피부를 긁거나 비벼대고 싶은 욕망을 일으키는 불유쾌한 감각으로, 가려움증을 말합니다. 많은 피부 질환에서 흔히 볼 수 있는 증상입니다. 그러나 그 특성은 아직 잘 알려지지 않았습니다.  ","다양한 피부질환에서 나타날 수 있으며 내과적 질환에서도 동반될 수 있습니다. 먼저 대표적인 피부질환으로는 아토피 피부염, 접촉 피부염, 두드러기, 결절성 양진, 옴, 만성단순태선, 곤충물림, 화폐상습진 등이 있습니다. 전신적 소양감을 동반하는 내과적 질환으로는 만성신부전증, 원발 담즙성 간경변증, 간외담도폐색, 약제성 담즙울체, 당뇨병, 갑상선항진증,갑상선기능저하증, 림프종, 백혈병, 후천면역결핍증 등이 있습니다.","소양증 환자의 병력을 자세히 물어보고 가려움증의 위치, 지속성 여부를 확인합니다. 가려움증이 약제와 관련이 있는지 확인하고 이와 관련된 요소를 배제해야 합니다. 신체 진찰과 함께 일반 혈액 검사, 흉부 방사선 검사, 대변 검사, 갑상샘, 간, 신장 기능 검사, 혈당 검사 등을 시행하여 원인 질환의 존재 여부를 살펴보아야 합니다.","소양증을 치료하기 위해서는 피부 질환에 의한 가려움증과 전신 질환에 동반된 가려움증의 원인을 모두 찾아서 치료해야 합니다. 그러나 원인을 치료할 수 있는 피부 질환이 많지 않으므로, 증상에 따른 일반적인 치료법을 시행하는 것도 중요합니다. 가려움증은 신체 주변의 온도 변화에 영향을 많이 받으므로 얇고 가벼운 옷과 침구를 사용해야 합니다. 칼라민 로션이나 1% 멘톨 로션으로 피부를 시원하게 하면 도움이 됩니다. 양모와 같은 자극적인 직물에 노출되는 것을 피해야 합니다. 피부를 긁는 습관을 고쳐야 합니다. 스트레스와 같은 정신적 긴장을 피하는 것도 좋습니다. 카페인과 술, 콜라 등은 가려움증을 악화시킵니다. 피부 건조에 의한 가려움증이라면 잦은 목욕을 피하고 보습제를 도포하는 것이 좋습니다.",피부과
소유방증(Micromastia),주로 유방의 발육이 부족하여 작은 유방을 가지는 경우입니다. 그러나 출산 후 혹은 나이가 들어 유방이 늘어지면서 작아진 경우도 있습니다.,"2차 성징 시의 유방 발육이 잘 이루어 지지 않는 것인데, 선천적인 영향에 의한 것으로 폴란드 증후군과 같이 가슴 근육의 형성 문제가 발생할 수 있으나 대개는 그렇지 않습니다. 또한, 후천적인 사고나 치료 (수술 또는 방사선 치료) 후에 소유방증이 생길 수 있습니다.","소유방증은 임상 진찰을 통해 진단합니다. 하지만 진단을 위한 절대적인 수치는 없고, 환자의 생각이 좌우되는 경우가 종종 있습니다.","어떻게 수술하나요?유방 확대술은 국소마취 하에서도 시행할 수 있지만 대개는 전신 마취하에 시술합니다. 겨드랑이나 유륜 주위, 혹은 유방 밑 주름선이나, 배꼽 절개선을 이용하여 보형물을 삽입합니다. 가장 흔히 사용하는 방법은 겨드랑이 절개와 유방 밑 주름선 절개법이며, 대부분의 경우 수술 흉터는 크게 눈에 띄지 않습니다. 한편 보형물을 넣는 위치는 크게 젖샘 밑 포켓과 근육 밑 포켓, 그리고 일부는 근육밑에 위치하고 일부는 젖 샘 밑에 위치하는 이중평면으로 나눌 수 있습니다.  색이 짙은 유륜의 아래쪽을 따라 절개하는 방법입니다.겨드랑이 절개의 경우 작지만 흉터가 남아 여름철에 민소매 옷을 입었을 때 보일 수 있습니다. 유륜절개는 이러한 단점을 개선하기 위해 시행되는 방법입니다.가슴이 배 위쪽에서 자연스럽게 접히는 곳에 생기는 주름을 따라 3~4cm 정도 절개하는 방법입니다 직접 가슴 밑을 보면서 수술하기 때문에 수술이 간편하고 수술 시간이 짧습니다.  겨드랑이의 주름진 부위를 3~4cm 정도 절개하는 방법입니다. 수술은 상대적으로 까다로우나 흉터가 거의 보이지 않아 흉터에 민감한 국내 여성들에게 만족도가 높아 가장 보편적으로 시행되는 방법입니다.     유방 삽입물에 관하여과거에는 실리콘 주머니에 실리콘 젤을 넣어 이용했는데 촉감은 좋지만 시간이 지나며 실리콘 젤이 미세한 구멍을 통하여 흘러나와 문제를 일으킬 수 있다는 논란이 있으면서 사용이 금지되었습니다. 실리콘 젤 보형물은 의학적으로 해롭다는 증거가 없는 것으로 판명 되었지만, 한동안 국내에서 일반적인 유방 확대술에 합법적으로 사용될 수 있는 보형물은 생리식염수 뿐이 었습니다.  생리식염수가 들어있는 보형물은 터지는 경우에도 인체에 해가 없지만 촉감이 덜 부드럽고 무거운 느낌이 드는 단점이 있습니다. 최근 식품의약품안 전청에서 코히시브 실리콘젤 유방 보형물에 대한 국내 판매를 허가함으로써 보형물 선택의 폭이 넓어졌습니다.  코히시브젤은 응집력이 높은 젤 형태의 실리콘으로 촉감이 우수하고 자연스러우며 겉이 손상되어도 내용물이 거의 새어나오지 않아 기존 보형물의 문제를 상당부분 해결할 수 있을 것으로 생각되지만, 수술 후 정기적인 추적 검사를 권합니다. 생리식염수 보형물과 코히시브젤 보형물은 각각의 장단점을 가지고 있으며 충분한 상담 후 개인의 체형과 유방의 특성에 따라 가장 적당한 수술 방법과 적절한 보형물을 선택할 수 있습니다.",성형외과
소이증(Microtia),"소이증은 태아의 귀가 형성될 때 이상이 생겨 귓바퀴가 제대로 형성되지 못하여 한쪽 또는 양쪽의 귀가 정상보다 작고 모양이 변형된 상태를 의미합니다. 귀의 선천성 기형 중 하나입니다. 귓구멍이 없는 경우도 있고, 청력에 이상이 있는 경우도 있습니다.","소이증은 알 수 없는 상황에서 여러 가지 요인의 복합 작용으로 인해 발생합니다. 아직 명확한 원인이 밝혀지지 않았습니다. 드물게 유전적 소인이나 임신 초기의 약물 복용, 질병 등과 관련이 있을 가능성이 보고되었습니다. 하악골 발달 장애가 나타나는 여러 증후군 및 반안면왜소증에게도 종종 소이증이 관찰됩니다.","귀를 육안으로 관찰했을 때, 귀의 위치와 크기, 모양이 정상적인 귀와 다르게 훨씬 작고 변형되어 있으면 우선 소이증으로 진단합니다. 간혹 신경성 혹은 전도성 난청이 동반된 경우가 있습니다. 따라서 내이의 구조와 기능을 평가하기 위해 청력 검사와 컴퓨터 단층촬영(CT) 등의 검사를 시행합니다.","소이증 재건 수술은 성형외과에서 시행합니다. 귀가 정상적인 성인 귀의 80% 크기로 성장하고, 갈비뼈 연골을 이식할 정도로 성장하면 수술을 할 수 있습니다. 이 시기는 보통 6~8세 무렵입니다. 귀 재건은 최소 2번 이상의 수술을 통해 단계적으로 진행합니다. 그 과정은 다음과 같습니다.  ① 갈비뼈 연골을 채취하여 귀 부분에 이식한 뒤 완전히 붙게 합니다.② 갈비뼈 연골이 귀에 완전히 붙은 이후, 이식된 연골과 이를 둘러싸고 있는 피판을 들어 올려 정상 귀와 같이 돌출되도록 만듭니다③ 귀 주변의 근막과 피부를 이용하여 연골을 덮어줍니다.  귀의 재건은 매우 어렵고 섬세한 작업입니다. 귀를 재건하더라도 반대쪽 귀와 완전히 똑같게 할 수는 없습니다.","성형외과, 이비인후과"
소장암(Small bowel cancer),"소장암은 소장에서 발생하는 악성 종양을 의미합니다. 소장암은 매우 드물게 발생합니다. 전체 암 중에서 소장암은 약 0.5%의 비율을 차지합니다. 소장암은 특별한 증상이 없으므로 발견 당시 이미 진행된 경우가 많습니다.  소장암의 종류와 그에 따른 특징은 다음과 같습니다. ① 선암선암은 소장 내벽의 가장 바깥쪽을 덮고 있는 상피세포의 한 종류인 선세포에서 암세포가 발생한 것을 말합니다. 선암은 전체 소장암의 50% 이상을 차지합니다. 주로 십이지장과 공장에서 발생합니다. 다른 소화기암을 동반하는 경우가 많습니다.  ② 유암종(신경내분비종양)유암종은 전체 소장암의 약 20% 정도를 차지합니다. 전체 위장관에서 보면 충수돌기와 직장에서 유암종이 잘 발생합니다. 소장의 경우에는 회장에서 많이 발생합니다. 약 30%는 다발성으로 발생합니다.  ③ 악성 림프종악성 림프종은 림프절에서 발생하는 전신 질환입니다. 소장 부위 중 회장에서 많이 발생합니다. 소장암의 약 14% 정도를 차지합니다.  ④ 육종육종은 결합조직세포에서 발생하는 악성 종양입니다. 소장에서 발생하는 악성 종양 중에 육종에 해당하는 것으로는 평활근육종, 지방육종, 섬유육종, 혈관육종 및 위장관 기질적 종양(GIST) 등이 있습니다. 이중 위장관 기질적 종양이 가장 흔하게 나타납니다. 소장의 육종은 전체 소장암의 약 12% 정도를 차지합니다.  ⑤ 위장관 기질성 종양(GIST)소장의 위장관 기질성 종양은 회장과 공장에서 자주 발생합니다. 위장관 기질성 종양은 장의 외측으로 자라서 증상을 일으키기 전에 큰 종괴를 형성합니다. 점막하층의 장운동에 관여하는 카할 기질 세포에서 발생합니다.  ⑥ 전이성 소장암다른 곳에서 발생한 암이 소장으로 전이된 것을 의미합니다. 소장으로 가장 전이를 잘 일으키는 암은 악성 흑색종입니다. 그 밖에 폐암, 카포시 육종, 신장암 등도 소장으로 전이될 수 있습니다. ","소장암은 서양인보다 동양인에게 드물게 나타납니다. 여성보다는 남성이, 저연령보다는 고연령일수록 더 잘 발생하는 것으로 알려져 있습니다.  소장암의 발생은 식습관과 큰 관련이 있습니다. 붉은색 육류 및 소금에 절인 훈제 음식을 자주 섭취하고, 지방 성분을 많이 섭취할수록 발생 위험이 증가합니다. 소장암을 유발할 수 있는 유전 질환에는 신경섬유종, 리프라우메니 증후군, 가족성 용종증 등이 있습니다. 가종성 용종증은 십이지장 선암의 발생 위험을 증가시키는 가장 강력한 위험 인자로 알려져 있습니다.  이 밖에 소장암과 관련이 있는 질환으로는, 염증성 질환인 크론병, 셀리악병, 포이츠-예거스 증후군, 면역 증식성 질환 등이 있습니다. 소장암 발생 위험을 증가시키는 환경 요인으로는 방사선, 여성 호르몬인 에스트로젠, 단백동화 스테로이드 및 살충제 등이 있습니다.","소장 종양의 증상이 모호한 경우가 많습니다. 임상 검사에서도 만성 빈혈 등과 같은 비특이적인 소견만 있는 경우가 많아 수술 전에 진단되는 경우는 드문 것으로 알려져 있습니다. 간혹 혈청 암태아성항원(CEA)의 증가, 빌리루빈 수치의 증가, 간 전이의 경우 간기능 수치의 이상을 보일 수 있습니다. 혈중에서 세로토닌의 대사물인 초산 5-히드록시인돌의 수치가 상승하면 유암종으로 진단할 수 있습니다.  방사선학적 검사로는 단순 복부촬영 및 상부위장관 촬영술, 소장 관장술, 소장 조영 검사, 복부의 전산화 단층촬영(CT)은 소장암에 의해 장폐색이 발생했을 경우 도움이 됩니다.  소장 내시경 검사는 육안적으로 종양을 진단하고, 생검을 통해 확진할 수 있으며, 최근에는 캡슐내시경을 진단에 이용하는 경우도 있습니다. 카메라가 장착된 작은 캡슐 모양의 내시경을 입으로 삼키면 이 캡슐이 항문을 통해 몸 밖으로 배출될 때까지 장 내부를 촬영하여 촬영된 영상을 통해 소장암을 진단할 수 있습니다. ","소장암의 치료 방법은 다음과 같습니다.  ① 선암수술이 가장 중요합니다. 종양이 십이지장의 근위부에 위치하면 췌장의 일부, 담관의 일부 및 십이지장과 위의 일부를 함께 제거하는 췌십이지장 절제술을 시행합니다. 십이지장 원위부에 위치하는 경우에는 병변을 포함한 소장의 부분 절제를 시행합니다. 공장 및 회장에 위치하는 경우에도 병변을 포함하도록 소장의 일부를 절제합니다.  이때 병변 주위의 림프절을 함께 제거하는데, 이를 근치적 절제라고 합니다. 근치적 절제를 시행하는 이유는 암세포가 림프관을 따라 림프절로 전이될 수 있기 때문입니다. 선암의 크기가 크고 주변 장기 및 림프절로 전이되어 근치적 절제가 불가능한 경우에도 일반적으로 장폐색 등의 증상을 완화시키기 위해서 병변을 절제합니다. 아직까지는 방사선 치료나 항암 화학 요법이 소장 선암에 효과가 없는 것으로 알려져 있습니다.  ② 유암종유암종은 주변의 림프절이나 간으로 전이될 수 있기 때문에 수술로 절제합니다. 유암종의 크기가 1cm 미만이고 주위 림프절로 전이되지 않았다면 병변을 포함한 소장을 부분 절제하는 것만으로도 충분합니다. 그러나 유암종의 크기가 1cm 이상이거나, 다발성이거나, 주위 림프절 전이를 동반한 경우에는 병변을 포함한 소장의 일부 및 주위 림프절을 광범위하게 절제합니다. 여러 약물이나 항암 화학 요법 등의 내과적 치료는 별다른 효과가 없는 것으로 보고되었습니다.  ③ 악성 림프종악성 림프종은 수술로 절제하는 것이 가장 중요합니다. 수술과 함께 방사선 치료와 항암 화학 요법을 병행했을 때 예후가 가장 좋습니다.  ④ 육종육종은 수술로 절제하는 것이 가장 중요합니다. 평활 근육종이나 위장관 기질성 종양(GIST) 등은 림프절로 전이되는 경우가 드물기 때문에, 병변을 포함한 소장의 부분 절제술만으로도 치료할 수 있습니다. 주변의 림프절을 제거하는 수술은 필요하지 않습니다.  원래 만성 골수성 백혈병 치료제로 개발된 타이로신카이네즈의 억제제인 이매티닙, 즉 글리벡은 절제할 수 없을 정도로 심하거나 다른 장기로 전이가 일어난 위장관 기질성 종양의 보조적 치료에 도움을 주는 것으로 알려져 있습니다. 실제로 전체 환자의 50% 이상에게 종양의 크기가 작아지는 효과를 보였다는 보고도 있습니다.","소화기내과, 종양내과, 방사선종양학과, 대장항문외과"
