질환명,링크
간 기능 검사 [liver function test],https://terms.naver.com/entry.naver?docId=927664&cid=51007&categoryId=51007
간 이식 [liver transplantation],https://terms.naver.com/entry.naver?docId=927786&cid=51007&categoryId=51007
간 자기공명영상 [liver magnetic resonance imaging],https://terms.naver.com/entry.naver?docId=927622&cid=51007&categoryId=51007
간 전산화 단층촬영 [liver computed tomography],https://terms.naver.com/entry.naver?docId=927613&cid=51007&categoryId=51007
간 초음파 검사 [liver ultrasonography],https://terms.naver.com/entry.naver?docId=927627&cid=51007&categoryId=51007
간경변증 [liver cirrhosis],https://terms.naver.com/entry.naver?docId=926868&cid=51007&categoryId=51007
간낭종 [hepatic cyst],https://terms.naver.com/entry.naver?docId=2119743&cid=51007&categoryId=51007
간농양 [liver abscess],https://terms.naver.com/entry.naver?docId=927084&cid=51007&categoryId=51007
간부전 [liver failure],https://terms.naver.com/entry.naver?docId=927025&cid=51007&categoryId=51007
간비대 [hepatomegaly],https://terms.naver.com/entry.naver?docId=927576&cid=51007&categoryId=51007
간성뇌증 [hepatic encephalopathy],https://terms.naver.com/entry.naver?docId=927466&cid=51007&categoryId=51007
간신증후군 [Hepatorenal syndrome],https://terms.naver.com/entry.naver?docId=6226106&cid=51007&categoryId=51007
간암 [liver cancer],https://terms.naver.com/entry.naver?docId=926869&cid=51007&categoryId=51007
간암 화학색전술 [transarterial chemoembolization],https://terms.naver.com/entry.naver?docId=927821&cid=51007&categoryId=51007
간염 [hepatitis],https://terms.naver.com/entry.naver?docId=927326&cid=51007&categoryId=51007
간질성 폐 질환 [interstitial lung disease],https://terms.naver.com/entry.naver?docId=927331&cid=51007&categoryId=51007
간질성방광염 [Interstitial cystitis],https://terms.naver.com/entry.naver?docId=6225978&cid=51007&categoryId=51007
간헐적 폭발성 장애(분노조절장애) [Intermittent explosive disorder],https://terms.naver.com/entry.naver?docId=6226045&cid=51007&categoryId=51007
간혈관종 [Hepatic hemangioma],https://terms.naver.com/entry.naver?docId=6225872&cid=51007&categoryId=51007
간흡충증 [clonorchiasis],https://terms.naver.com/entry.naver?docId=926576&cid=51007&categoryId=51007
감기 [common cold],https://terms.naver.com/entry.naver?docId=926577&cid=51007&categoryId=51007
감돈포경 [Paraphimosis],https://terms.naver.com/entry.naver?docId=6225823&cid=51007&categoryId=51007
감염성 심내막염 [infective endocarditis],https://terms.naver.com/entry.naver?docId=927151&cid=51007&categoryId=51007
갑상선 결절 [thyroid nodule],https://terms.naver.com/entry.naver?docId=927113&cid=51007&categoryId=51007
갑상선 결절 중재치료 [interventional treatment of thyroid nodular disease],https://terms.naver.com/entry.naver?docId=927835&cid=51007&categoryId=51007
갑상선 기능 검사 [thyroid function test],https://terms.naver.com/entry.naver?docId=927667&cid=51007&categoryId=51007
갑상선 기능 저하증 [hypothyroidism],https://terms.naver.com/entry.naver?docId=926829&cid=51007&categoryId=51007
갑상선 기능 항진증 [hyperthyroidism],https://terms.naver.com/entry.naver?docId=926830&cid=51007&categoryId=51007
"갑상선/부갑상선 초음파 검사 [thyroid ultrasonography, Thyroid/parathyroid Ultrasonography]",https://terms.naver.com/entry.naver?docId=927630&cid=51007&categoryId=51007
갑상선결절수술 [Thyroid nodule surgery],https://terms.naver.com/entry.naver?docId=6225918&cid=51007&categoryId=51007
갑상선비대 [Goiter],https://terms.naver.com/entry.naver?docId=6225796&cid=51007&categoryId=51007
갑상선암 [thyroid cancer],https://terms.naver.com/entry.naver?docId=926831&cid=51007&categoryId=51007
갑상선염 [thyroiditis],https://terms.naver.com/entry.naver?docId=926832&cid=51007&categoryId=51007
갑상선유두암 [Papillary thyroid carcinoma],https://terms.naver.com/entry.naver?docId=6225991&cid=51007&categoryId=51007
갑상선중독증 [Thyrotoxicosis],https://terms.naver.com/entry.naver?docId=6225778&cid=51007&categoryId=51007
갑상설관낭종 [thyroglossal duct cyst],https://terms.naver.com/entry.naver?docId=927074&cid=51007&categoryId=51007
강박성 인격장애 [obsessive-compulsive personality disorder],https://terms.naver.com/entry.naver?docId=927269&cid=51007&categoryId=51007
"강박장애 [obsessive compulsive disorder, obsessive-compulsive disorder]",https://terms.naver.com/entry.naver?docId=926917&cid=51007&categoryId=51007
강직성 척추염 [ankylosing spondylitis],https://terms.naver.com/entry.naver?docId=926623&cid=51007&categoryId=51007
개흉술 [thoracotomy],https://terms.naver.com/entry.naver?docId=927847&cid=51007&categoryId=51007
객담 [sputum],https://terms.naver.com/entry.naver?docId=927453&cid=51007&categoryId=51007
객혈 [hemoptysis],https://terms.naver.com/entry.naver?docId=927454&cid=51007&categoryId=51007
거대색소 모반 [giant pigmented nevus],https://terms.naver.com/entry.naver?docId=926775&cid=51007&categoryId=51007
거북목 증후군 [forward head posture],https://terms.naver.com/entry.naver?docId=927290&cid=51007&categoryId=51007
거스트만 증후군 [Gerstmann syndrome],https://terms.naver.com/entry.naver?docId=927357&cid=51007&categoryId=51007
거위발건염 [Pes anserinus tendititis],https://terms.naver.com/entry.naver?docId=6225922&cid=51007&categoryId=51007
거품뇨 [foamy urine],https://terms.naver.com/entry.naver?docId=927436&cid=51007&categoryId=51007
건막염 [tenosynovitis],https://terms.naver.com/entry.naver?docId=926774&cid=51007&categoryId=51007
건망증 [Forgetfulness],https://terms.naver.com/entry.naver?docId=6226031&cid=51007&categoryId=51007
건선 [psoriasis],https://terms.naver.com/entry.naver?docId=926776&cid=51007&categoryId=51007
검열반 [pingueculum],https://terms.naver.com/entry.naver?docId=927307&cid=51007&categoryId=51007
견열골절 [Avulsion fracture],https://terms.naver.com/entry.naver?docId=6225863&cid=51007&categoryId=51007
견인치료 [Traction],https://terms.naver.com/entry.naver?docId=6225957&cid=51007&categoryId=51007
결막부종 [chemosis],https://terms.naver.com/entry.naver?docId=927444&cid=51007&categoryId=51007
결막염 [conjunctivitis],https://terms.naver.com/entry.naver?docId=926947&cid=51007&categoryId=51007
결막하 출혈 [subconjunctival hemorrhage],https://terms.naver.com/entry.naver?docId=927445&cid=51007&categoryId=51007
결절 [nodule],https://terms.naver.com/entry.naver?docId=927396&cid=51007&categoryId=51007
결절종 [ganglion],https://terms.naver.com/entry.naver?docId=927311&cid=51007&categoryId=51007
결체조직연관 간질성 폐질환 [connective tissue disease related interstitial lung disease],https://terms.naver.com/entry.naver?docId=5749202&cid=51007&categoryId=51007
결핵 [Tuberculosis],https://terms.naver.com/entry.naver?docId=926990&cid=51007&categoryId=51007
결핵 피부반응 검사 [tuberculin skin test],https://terms.naver.com/entry.naver?docId=927712&cid=51007&categoryId=51007
결핵성 수막염 [tuberculous meningitis],https://terms.naver.com/entry.naver?docId=926669&cid=51007&categoryId=51007
경계선 지적 지능 [Borderline mental retardation],https://terms.naver.com/entry.naver?docId=6225836&cid=51007&categoryId=51007
경계성 인격장애 [borderline personality disorder],https://terms.naver.com/entry.naver?docId=927263&cid=51007&categoryId=51007
경구 피임법 [oral contraception],https://terms.naver.com/entry.naver?docId=927591&cid=51007&categoryId=51007
경도인지 장애 [mild cognitive impairment],https://terms.naver.com/entry.naver?docId=926670&cid=51007&categoryId=51007
경동맥 협착증 [carotid artery stenosis],https://terms.naver.com/entry.naver?docId=927098&cid=51007&categoryId=51007
경막외 출혈 [epidural hemorrhage],https://terms.naver.com/entry.naver?docId=926711&cid=51007&categoryId=51007
경막외신경성형술 [Epidural neuroplasty],https://terms.naver.com/entry.naver?docId=6225895&cid=51007&categoryId=51007
경부통증 [Cervical pain],https://terms.naver.com/entry.naver?docId=6225896&cid=51007&categoryId=51007
경정맥 요로 조영검사 [intravenous urography],https://terms.naver.com/entry.naver?docId=927643&cid=51007&categoryId=51007
경직 [spasticity],https://terms.naver.com/entry.naver?docId=927510&cid=51007&categoryId=51007
경추 수핵 탈출증 [cervical herniated nucleus pulpususdisc],https://terms.naver.com/entry.naver?docId=926713&cid=51007&categoryId=51007
경피 신루 설치술 [percutaneous nephrostomy],https://terms.naver.com/entry.naver?docId=927826&cid=51007&categoryId=51007
경피경간 담도 배액술 [percutaneous transhepatic biliary drainage],https://terms.naver.com/entry.naver?docId=927825&cid=51007&categoryId=51007
경피경간 담도 스텐트 [percutaneous transhepatic biliary stenting],https://terms.naver.com/entry.naver?docId=927828&cid=51007&categoryId=51007
경피경간 담도 확장술 [percutaneous transhepatic biliary dilatation],https://terms.naver.com/entry.naver?docId=927827&cid=51007&categoryId=51007
경피적 농양 배액술 [percutaneous abscess drainage],https://terms.naver.com/entry.naver?docId=927830&cid=51007&categoryId=51007
경피적 척추성형술 [percutaneous vertebroplasty],https://terms.naver.com/entry.naver?docId=927833&cid=51007&categoryId=51007
경피적내시경추간판제거술 [Percutaneous endoscopic lumbar discectomy],https://terms.naver.com/entry.naver?docId=6225724&cid=51007&categoryId=51007
경피증 [systemic sclerosis],https://terms.naver.com/entry.naver?docId=926624&cid=51007&categoryId=51007
계류유산 [missed abortion],https://terms.naver.com/entry.naver?docId=927046&cid=51007&categoryId=51007
고관절염 [arthritis of the hip joint],https://terms.naver.com/entry.naver?docId=927126&cid=51007&categoryId=51007
고나트륨혈증 [hypernatremia],https://terms.naver.com/entry.naver?docId=927490&cid=51007&categoryId=51007
고도비만 [Severe obesity],https://terms.naver.com/entry.naver?docId=6225946&cid=51007&categoryId=51007
고래회충증 [anisakiasis],https://terms.naver.com/entry.naver?docId=926870&cid=51007&categoryId=51007
고령 임신 [pregnancy of advanced maternal age],https://terms.naver.com/entry.naver?docId=2119578&cid=51007&categoryId=51007
고막염 [Myringitis],https://terms.naver.com/entry.naver?docId=6226018&cid=51007&categoryId=51007
고빌리루빈혈증 [hyperbilirubinemia],https://terms.naver.com/entry.naver?docId=2119744&cid=51007&categoryId=51007
고사난자 [Blighted ovum],https://terms.naver.com/entry.naver?docId=6225989&cid=51007&categoryId=51007
고산병 [high-altitude medical problem],https://terms.naver.com/entry.naver?docId=927281&cid=51007&categoryId=51007
고소공포증 [acrophobia],https://terms.naver.com/entry.naver?docId=927262&cid=51007&categoryId=51007
고압산소요법 [hyperbaric oxygen therapy],https://terms.naver.com/entry.naver?docId=927865&cid=51007&categoryId=51007
고주파 열치료 [radiofrequency ablation],https://terms.naver.com/entry.naver?docId=927834&cid=51007&categoryId=51007
고주파비염수술 [Radiofrequency rhinitis surgery],https://terms.naver.com/entry.naver?docId=6225775&cid=51007&categoryId=51007
고주파수핵감압술 [Intradiscal Electrothermal Therapy],https://terms.naver.com/entry.naver?docId=6225841&cid=51007&categoryId=51007
고지혈증 [hyperlipidemia],https://terms.naver.com/entry.naver?docId=926833&cid=51007&categoryId=51007
고칼륨혈증 [hyperkalemia],https://terms.naver.com/entry.naver?docId=927491&cid=51007&categoryId=51007
고혈압 [hypertension],https://terms.naver.com/entry.naver?docId=927329&cid=51007&categoryId=51007
고혈압성 뇌출혈 [hypertensive intracerebral hemorrhage],https://terms.naver.com/entry.naver?docId=926714&cid=51007&categoryId=51007
고혈압성 신장 질환 [hypertensive nephropathy],https://terms.naver.com/entry.naver?docId=926938&cid=51007&categoryId=51007
고환 초음파 검사 [scrotal ultrasonography],https://terms.naver.com/entry.naver?docId=927635&cid=51007&categoryId=51007
고환암 [testis cancer],https://terms.naver.com/entry.naver?docId=2119735&cid=51007&categoryId=51007
"고환염 및 부고환염 [orchitis, epididymitis]",https://terms.naver.com/entry.naver?docId=926632&cid=51007&categoryId=51007
곤봉지 [clubbing],https://terms.naver.com/entry.naver?docId=927455&cid=51007&categoryId=51007
곤지름 [condyloma],https://terms.naver.com/entry.naver?docId=926777&cid=51007&categoryId=51007
곤충 알레르기 [insect allergy],https://terms.naver.com/entry.naver?docId=927024&cid=51007&categoryId=51007
골다공증 [osteoporosis],https://terms.naver.com/entry.naver?docId=926834&cid=51007&categoryId=51007
골다공증 검사 [bone densitometry],https://terms.naver.com/entry.naver?docId=927646&cid=51007&categoryId=51007
골다공증주사 [Osteoporosis injection treatment],https://terms.naver.com/entry.naver?docId=6226044&cid=51007&categoryId=51007
"골반 교정 [corrective pelvic osteotomy, acetabuloplasty]",https://terms.naver.com/entry.naver?docId=927775&cid=51007&categoryId=51007
골반 내진 [pelvic examination],https://terms.naver.com/entry.naver?docId=2119528&cid=51007&categoryId=51007
골반염 [pelvic inflammatory disease],https://terms.naver.com/entry.naver?docId=926843&cid=51007&categoryId=51007
골반울혈 증후군 중재시술 [intervention of pelvic congestion syndrome],https://terms.naver.com/entry.naver?docId=927831&cid=51007&categoryId=51007
골수 검사 [bone marrow examination],https://terms.naver.com/entry.naver?docId=927661&cid=51007&categoryId=51007
골수섬유증 [Myelofibrosis],https://terms.naver.com/entry.naver?docId=6226107&cid=51007&categoryId=51007
골수염 [Myelitis],https://terms.naver.com/entry.naver?docId=6225980&cid=51007&categoryId=51007
골연령 평가 [bone age test],https://terms.naver.com/entry.naver?docId=927645&cid=51007&categoryId=51007
골절 [fracture],https://terms.naver.com/entry.naver?docId=927122&cid=51007&categoryId=51007
골타박상 [Bone contusion],https://terms.naver.com/entry.naver?docId=6225773&cid=51007&categoryId=51007
곰보 [pockmark],https://terms.naver.com/entry.naver?docId=927488&cid=51007&categoryId=51007
공기색전증 [Air embolism],https://terms.naver.com/entry.naver?docId=2454441&cid=51007&categoryId=51007
공포 [phobia],https://terms.naver.com/entry.naver?docId=927571&cid=51007&categoryId=51007
공포증 [phobia],https://terms.naver.com/entry.naver?docId=927261&cid=51007&categoryId=51007
공황장애 [panic disorder],https://terms.naver.com/entry.naver?docId=926919&cid=51007&categoryId=51007
과민 대장 증후군 [irritable bowel syndrome],https://terms.naver.com/entry.naver?docId=926871&cid=51007&categoryId=51007
과민성 방광 [overactive bladder],https://terms.naver.com/entry.naver?docId=926633&cid=51007&categoryId=51007
과민성 폐장염 [hypersensitive pneumonitis],https://terms.naver.com/entry.naver?docId=927081&cid=51007&categoryId=51007
과색소침착 [hyperpigmentation],https://terms.naver.com/entry.naver?docId=927397&cid=51007&categoryId=51007
과탄산혈증 [hypercapnia],https://terms.naver.com/entry.naver?docId=927456&cid=51007&categoryId=51007
과호흡 증후군 [hyperventilation syndrome],https://terms.naver.com/entry.naver?docId=927035&cid=51007&categoryId=51007
관상동맥 우회술 [coronary artery bypass graft],https://terms.naver.com/entry.naver?docId=927841&cid=51007&categoryId=51007
관상동맥 조영술 [coronary angiography],https://terms.naver.com/entry.naver?docId=2119531&cid=51007&categoryId=51007
관상동맥성형술 [Percutaneous coronary angioplasty],https://terms.naver.com/entry.naver?docId=6225833&cid=51007&categoryId=51007
"관음장애 [voyeurism, voyeuristic disorder]",https://terms.naver.com/entry.naver?docId=926920&cid=51007&categoryId=51007
관장 [enema],https://terms.naver.com/entry.naver?docId=927729&cid=51007&categoryId=51007
관절 강직 [joint stiffness],https://terms.naver.com/entry.naver?docId=927553&cid=51007&categoryId=51007
관절 종창 [joint swelling],https://terms.naver.com/entry.naver?docId=927573&cid=51007&categoryId=51007
관절염 [arthritis],https://terms.naver.com/entry.naver?docId=927322&cid=51007&categoryId=51007
광견병 [rabies],https://terms.naver.com/entry.naver?docId=926578&cid=51007&categoryId=51007
"광범위 내성 결핵 [xdr-tb, Extensively drug-resistant tuberculosis, XDR-TB]",https://terms.naver.com/entry.naver?docId=2120086&cid=51007&categoryId=51007
광역동 치료 [photodynamic therapy],https://terms.naver.com/entry.naver?docId=2119722&cid=51007&categoryId=51007
광장공포증 [agoraphobia],https://terms.naver.com/entry.naver?docId=2120098&cid=51007&categoryId=51007
괴저성농피증 [Pyoderma gangrenosum],https://terms.naver.com/entry.naver?docId=6225734&cid=51007&categoryId=51007
괴혈병 [scurvy],https://terms.naver.com/entry.naver?docId=927061&cid=51007&categoryId=51007
교감신경절제술 [sympathectomy],https://terms.naver.com/entry.naver?docId=2119717&cid=51007&categoryId=51007
교모세포종 [glioblastoma],https://terms.naver.com/entry.naver?docId=926715&cid=51007&categoryId=51007
교정 치료 [orthodontic treatment],https://terms.naver.com/entry.naver?docId=927740&cid=51007&categoryId=51007
구강건조증 [xerostomia],https://terms.naver.com/entry.naver?docId=2120073&cid=51007&categoryId=51007
구강암 [oral cavity cancer],https://terms.naver.com/entry.naver?docId=926737&cid=51007&categoryId=51007
구개반사 [Gag reflex],https://terms.naver.com/entry.naver?docId=6225844&cid=51007&categoryId=51007
구내염 [stomatitis],https://terms.naver.com/entry.naver?docId=926974&cid=51007&categoryId=51007
구내혈종 [Oral hematoma],https://terms.naver.com/entry.naver?docId=6225834&cid=51007&categoryId=51007
구루병 [rickets],https://terms.naver.com/entry.naver?docId=926825&cid=51007&categoryId=51007
구순구개열 [cleft lip and cleft palate],https://terms.naver.com/entry.naver?docId=927128&cid=51007&categoryId=51007
구순염 [Cheilitis],https://terms.naver.com/entry.naver?docId=6226047&cid=51007&categoryId=51007
구순포진 [herpes labialis],https://terms.naver.com/entry.naver?docId=927294&cid=51007&categoryId=51007
구역 [nausea],https://terms.naver.com/entry.naver?docId=927420&cid=51007&categoryId=51007
구진 [papule],https://terms.naver.com/entry.naver?docId=927398&cid=51007&categoryId=51007
구축 [contracture],https://terms.naver.com/entry.naver?docId=927509&cid=51007&categoryId=51007
구취 [halitosis],https://terms.naver.com/entry.naver?docId=927451&cid=51007&categoryId=51007
구토 [vomiting],https://terms.naver.com/entry.naver?docId=927421&cid=51007&categoryId=51007
구형구축 [Capsular contracture],https://terms.naver.com/entry.naver?docId=6225797&cid=51007&categoryId=51007
구획증후군 [Compartment syndrome],https://terms.naver.com/entry.naver?docId=3558033&cid=51007&categoryId=51007
국소 마취 [local anesthesia],https://terms.naver.com/entry.naver?docId=927861&cid=51007&categoryId=51007
국소성 이긴장증 [focaldystonia],https://terms.naver.com/entry.naver?docId=2120085&cid=51007&categoryId=51007
군발두통 [cluster headache],https://terms.naver.com/entry.naver?docId=926671&cid=51007&categoryId=51007
군집성흑자증 [Agminated lentigenous nevus],https://terms.naver.com/entry.naver?docId=6225880&cid=51007&categoryId=51007
굴절 및 조절의 장애 [disorder of refraction and accommodation],https://terms.naver.com/entry.naver?docId=926948&cid=51007&categoryId=51007
궤양성 대장염 [ulcerative colitis],https://terms.naver.com/entry.naver?docId=926872&cid=51007&categoryId=51007
귀두포피염 [balanoposthitis],https://terms.naver.com/entry.naver?docId=927069&cid=51007&categoryId=51007
귓불염증 [Swollen earlobe],https://terms.naver.com/entry.naver?docId=6226013&cid=51007&categoryId=51007
규폐증 [Silicosis],https://terms.naver.com/entry.naver?docId=6226095&cid=51007&categoryId=51007
균열설 [Fissured tongue],https://terms.naver.com/entry.naver?docId=6225800&cid=51007&categoryId=51007
극치감 장애 [orgasmic disorder],https://terms.naver.com/entry.naver?docId=927260&cid=51007&categoryId=51007
근골격계 자기공명영상 [muscuolskeletal magnetic resonance imaging],https://terms.naver.com/entry.naver?docId=927620&cid=51007&categoryId=51007
근골격계 초음파 검사 [musculoskeletal ultrasonography],https://terms.naver.com/entry.naver?docId=927631&cid=51007&categoryId=51007
근골격계질환 [Musculoskeletal disorder],https://terms.naver.com/entry.naver?docId=6226033&cid=51007&categoryId=51007
근디스트로피 [muscular dystrophy],https://terms.naver.com/entry.naver?docId=927174&cid=51007&categoryId=51007
근력 약화 [muscular weakness],https://terms.naver.com/entry.naver?docId=927555&cid=51007&categoryId=51007
근막동통 증후군 [myofascial pain syndrome],https://terms.naver.com/entry.naver?docId=926672&cid=51007&categoryId=51007
근육간대경련 [myoclonus],https://terms.naver.com/entry.naver?docId=927358&cid=51007&categoryId=51007
근육긴장이상 [dystonia],https://terms.naver.com/entry.naver?docId=927359&cid=51007&categoryId=51007
근육내자극치료(IMS치료) [Intramuscular stimulation],https://terms.naver.com/entry.naver?docId=6225809&cid=51007&categoryId=51007
근육떨림 [Muscle spasm],https://terms.naver.com/entry.naver?docId=6225995&cid=51007&categoryId=51007
근육병 [myopathy],https://terms.naver.com/entry.naver?docId=927020&cid=51007&categoryId=51007
근육통 [myalgia],https://terms.naver.com/entry.naver?docId=927417&cid=51007&categoryId=51007
근육파열 [Muscle strain],https://terms.naver.com/entry.naver?docId=6225950&cid=51007&categoryId=51007
근전도 검사 [electromyography],https://terms.naver.com/entry.naver?docId=2119574&cid=51007&categoryId=51007
금단 현상 [withdrawal symptoms],https://terms.naver.com/entry.naver?docId=927503&cid=51007&categoryId=51007
금연 [smoking cessation],https://terms.naver.com/entry.naver?docId=5749190&cid=51007&categoryId=51007
금주 [Alcohol abstinence],https://terms.naver.com/entry.naver?docId=5749195&cid=51007&categoryId=51007
급뇨 [Urinary urgency],https://terms.naver.com/entry.naver?docId=5749220&cid=51007&categoryId=51007
급성 간질성 폐렴 [acute interstitial pneumonia],https://terms.naver.com/entry.naver?docId=926992&cid=51007&categoryId=51007
급성 경막하 출혈 [acute subdural hemorrhage],https://terms.naver.com/entry.naver?docId=926712&cid=51007&categoryId=51007
급성 골수성 백혈병 [acute myeloid leukemia],https://terms.naver.com/entry.naver?docId=926809&cid=51007&categoryId=51007
급성 대장염 [acute colitis],https://terms.naver.com/entry.naver?docId=927034&cid=51007&categoryId=51007
급성 림프구성 백혈병 [acute lymphoblastic leukemia],https://terms.naver.com/entry.naver?docId=926810&cid=51007&categoryId=51007
급성 바이러스성 간염 [acute viral hepatitis],https://terms.naver.com/entry.naver?docId=927327&cid=51007&categoryId=51007
급성 부비동염 [acute sinusitis],https://terms.naver.com/entry.naver?docId=926738&cid=51007&categoryId=51007
급성 비염 [acute rhinitis],https://terms.naver.com/entry.naver?docId=927033&cid=51007&categoryId=51007
급성 신부전 [acute renal failure],https://terms.naver.com/entry.naver?docId=926939&cid=51007&categoryId=51007
급성 신우신염 [acute pyelonephritis],https://terms.naver.com/entry.naver?docId=926940&cid=51007&categoryId=51007
급성 신장염 [acute nephritis],https://terms.naver.com/entry.naver?docId=2120068&cid=51007&categoryId=51007
급성 염증성 탈수초성 다발성 신경병증 [acute inflammatory demyelinating polyneuropathy],https://terms.naver.com/entry.naver?docId=926673&cid=51007&categoryId=51007
급성 인두염 [acute pharyngitis],https://terms.naver.com/entry.naver?docId=926739&cid=51007&categoryId=51007
급성 파종성 뇌척수염 [acute demyelinating encephalomyelitis],https://terms.naver.com/entry.naver?docId=926674&cid=51007&categoryId=51007
급성 편도염 [acute tonsillitis],https://terms.naver.com/entry.naver?docId=926740&cid=51007&categoryId=51007
급성 폐쇄성 후두염 [acute laryngotracheobronchitis],https://terms.naver.com/entry.naver?docId=926741&cid=51007&categoryId=51007
급성 혈행성 골수염 [acute osteomyelitis],https://terms.naver.com/entry.naver?docId=927291&cid=51007&categoryId=51007
급성 호흡곤란 증후군 [acute respiratory distress syndrome],https://terms.naver.com/entry.naver?docId=927172&cid=51007&categoryId=51007
급성 횡단성 척수염 [acute transverse myelitis],https://terms.naver.com/entry.naver?docId=926675&cid=51007&categoryId=51007
급성 후두개염 [acute epiglottitis],https://terms.naver.com/entry.naver?docId=927003&cid=51007&categoryId=51007
"급성 후두염 및 기관염 [acute laryngitis, tracheitis]",https://terms.naver.com/entry.naver?docId=926742&cid=51007&categoryId=51007
급성기관지염 [Acute bronchitis],https://terms.naver.com/entry.naver?docId=6226090&cid=51007&categoryId=51007
급성방광염 [Acute cystitis],https://terms.naver.com/entry.naver?docId=6225967&cid=51007&categoryId=51007
급성위염 [Acute gastritis],https://terms.naver.com/entry.naver?docId=6225997&cid=51007&categoryId=51007
급성췌장염 [acute pancreatitis],https://terms.naver.com/entry.naver?docId=926873&cid=51007&categoryId=51007
급식 및 섭식 장애 [eating disorder],https://terms.naver.com/entry.naver?docId=927264&cid=51007&categoryId=51007
급체 [Dyspepsia],https://terms.naver.com/entry.naver?docId=6226042&cid=51007&categoryId=51007
기관절개술 [tracheostomy],https://terms.naver.com/entry.naver?docId=2119729&cid=51007&categoryId=51007
기관지 내시경 검사 [bronchoscopy],https://terms.naver.com/entry.naver?docId=2119535&cid=51007&categoryId=51007
기관지 폐포암 [bronchioloalveolar carcinoma],https://terms.naver.com/entry.naver?docId=926980&cid=51007&categoryId=51007
기관지 확장증 [bronchiectasis],https://terms.naver.com/entry.naver?docId=926981&cid=51007&categoryId=51007
기뇌증 [Pneumocephalus],https://terms.naver.com/entry.naver?docId=2454440&cid=51007&categoryId=51007
기능성 위장 장애 [functional gastrointestinal disorder],https://terms.naver.com/entry.naver?docId=927026&cid=51007&categoryId=51007
기능성 자궁출혈 [dysfunctional uterine bleeding],https://terms.naver.com/entry.naver?docId=926844&cid=51007&categoryId=51007
기능적 전기 자극 [functional electrical stimulation],https://terms.naver.com/entry.naver?docId=927727&cid=51007&categoryId=51007
기도 폐쇄 [airway obstruction],https://terms.naver.com/entry.naver?docId=927108&cid=51007&categoryId=51007
기도과민증 [Airway hypersensitivity],https://terms.naver.com/entry.naver?docId=6225728&cid=51007&categoryId=51007
기도확장수술 [Airway reconstruction],https://terms.naver.com/entry.naver?docId=6225789&cid=51007&categoryId=51007
기립성빈맥 [Postural tachycardia syndrome],https://terms.naver.com/entry.naver?docId=6225830&cid=51007&categoryId=51007
기립성어지럼증 [Orthostatic dizziness],https://terms.naver.com/entry.naver?docId=6225960&cid=51007&categoryId=51007
기면증 [narcolepsy],https://terms.naver.com/entry.naver?docId=926921&cid=51007&categoryId=51007
기미 [melasma],https://terms.naver.com/entry.naver?docId=926778&cid=51007&categoryId=51007
기생충 대변 검사 [parasite stool examination],https://terms.naver.com/entry.naver?docId=927697&cid=51007&categoryId=51007
기억상실증 [Amnesia],https://terms.naver.com/entry.naver?docId=6226091&cid=51007&categoryId=51007
