label,text
갑상선기능항진증,"피로, 기분 변화, 체중 감소, 안절부절 못함, 발한, 설사, 과도한 식욕, 근육 약화, 과민성, 생리 불순"
뎅기열,"피부 발진, 오한, 관절 통증, 구토, 피로, 고열, 두통, 메스꺼움, 식욕 부진, 눈 뒤쪽 통증, 요통, 불쾌감, 근육통, 몸에 붉은 반점"
만성 담즙 정체증,"가려움, 구토, 황달, 메스꺼움, 식욕 부진, 복통, 눈의 황변"
두개내 혈종,"두개내 혈종의 징후와 증상은 머리 부상 직후에 나타날 수도 있고, 몇 주 또는 그 이상 후에 나타날 수도 있습니다. 머리 부상 후에는 괜찮아 보일 수 있으며, 이 시기를 '명료기'라고 부릅니다. 시간이 지남에 따라 뇌에 가해지는 압력이 증가하면서 다음과 같은 징후와 증상이 나타날 수 있습니다: - 점점 심해지는 두통 - 구토 - 졸음 및 의식 소실의 진행 - 어지러움 - 혼란 - 동공 크기 불균형 - 발음이 어눌해짐 - 머리 부상 반대쪽 신체의 운동 상실(마비) 뇌 또는 뇌와 두개골 사이의 좁은 공간에 더 많은 혈액이 차면서 다음과 같은 다른 징후와 증상이 나타날 수 있습니다: - 무기력 - 발작 - 의식 소실 이러한 증상이 나타날 경우 즉시 의료적인 도움을 받는 것이 중요합니다."
소화성 궤양 질환,"구토, 소화 불량, 식욕 부진, 복통, 가스 배출, 내부 가려움증"
결핵,"오한, 구토, 피로, 체중 감소, 기침, 고열, 호흡 곤란, 발한, 식욕 부진, 미열, 눈의 황변, 림프절 부종, 권태감, 가래, 흉통, 객혈"
기관지 천식,"피로, 기침, 고열, 호흡 곤란, 가족력, 점액성 가래"
약물 반응,"가려움, 피부 발진, 복통, 배뇨 시 작열감, 소변에 혈흔"
심장마비,"구토, 호흡 곤란, 발한, 가슴 통증"
감기,최근에 정말 기운이 없고 지쳤어요. 숨 쉬는 게 많이 힘들고 코도 계속 막혀 있어요. 목에는 가래가 많이 끼고 림프절도 부어 있는 상태입니다.
편두통,"속쓰림, 소화불량, 두통, 시야 흐림 및 왜곡, 과도한 허기, 목의 뻣뻣함, 과민성, 시각 장애"
근막통증증후군,"근막통증증후군의 징후와 증상은 다음과 같습니다: 근육의 깊고 쑤시는 통증, 지속되거나 악화되는 통증, 근육에 생긴 압통 결절, 통증으로 인한 수면 장애."
여드름,"피부 발진, 고름이 찬 여드름, 블랙헤드, 흉터 형성"
약물 반응,"피부 발진, 복통, 배뇨 시 작열감, 소변에 혈흔"
수두,"가려움, 피부 발진, 피로, 무기력, 고열, 두통, 식욕 부진, 미열, 림프절 부종, 권태감, 몸에 붉은 반점"
여드름,"낭포성 여드름은 여드름의 가장 심한 형태로, 모낭 깊숙한 곳에 피지와 죽은 피부 세포가 쌓이면서 발생합니다. 이로 인해 피부 내부에서 파열이 일어나면 종기와 같은 염증이 생길 수 있습니다. 여드름의 증상은 상태의 심각성에 따라 다양합니다: - 화이트헤드 (닫힌 모공) - 블랙헤드 (열린 모공) - 작은 붉고 민감한 돌기 (구진) - 고름이 있는 여드름 (농포) - 피부 아래에 있는 크고 단단하며 통증이 있는 덩어리 (결절) - 통증이 있고 고름이 찬 피부 아래의 덩어리 (낭포성 병변) 여드름은 주로 얼굴, 이마, 가슴, 등 상부 및 어깨에 나타납니다."
저혈당증,"구토, 불안, 발한, 두통, 메스꺼움, 시야 흐림 및 왜곡, 과도한 허기, 입술 건조 및 따끔거림, 발음이 어눌함, 과민성, 심계항진"
방사선 장염,"방사선 장염의 증상으로는 설사, 메스꺼움, 구토, 복부 경련이 있습니다. 이러한 증상은 암 치료를 위한 방사선 요법으로 인해 장이 자극을 받아 발생합니다. 일반적으로 치료가 끝난 후 몇 주가 지나면 증상이 사라지지만, 때로는 더 오래 지속되기도 합니다. 장기적인 방사선 장염은 빈혈과 장 폐색을 유발할 수 있습니다. 방사선 장염의 위험 요인은 복부와 골반 부위의 암에 대해 방사선 치료를 받는 사람들에게서 더 높게 나타납니다. 방사선 요법이 장을 자극하여 방사선 장염이 발생할 수 있습니다."
갑상선기능항진증,"피로, 기분 변화, 체중 감소, 안절부절 못함, 발한, 설사, 빠른 심박수, 과도한 식욕, 근육 약화, 과민성, 생리 불순"
장티푸스,며칠 전부터 고열이 지속되고 있습니다. 특히 밤에 더 심해집니다. 또한 가벼운 두통이 있으며 변비와 설사가 번갈아 나타나고 있습니다.
편두통,저는 자주 두통이 생기고 시야가 흐려집니다. 또한 목이 뻣뻣하고 불안감과 짜증이 있으며 시각 장애도 겪고 있습니다. 소화 불량과 속 쓰림을 포함한 위장 문제도 있습니다.
알코올성 간염,"구토, 황달, 복통, 복부 팽만, 복부 팽창, 체액 과다"
위장염,"구토, 눈이 움푹 들어감, 탈수, 설사"
저혈당증,"구토, 피로, 불안, 발한, 두통, 메스꺼움, 시야 흐림 및 왜곡, 과도한 허기, 입술 건조 및 따끔거림, 발음이 어눌함, 과민성, 심계항진"
알레르기,"연속적인 재채기, 오한, 추위, 눈물 흘림"
혈관종,"혈관종은 출생 시에 존재할 수 있지만, 대부분 생후 몇 개월 내에 나타납니다. 처음에는 몸 어디에나 생길 수 있는 평평한 붉은 반점으로 시작하며, 주로 얼굴, 두피, 가슴 또는 등에 나타납니다. 일반적으로 아이는 하나의 반점만 가지지만, 특히 다태아인 경우에는 여러 개의 반점을 가질 수도 있습니다. 아이의 첫해 동안 이 붉은 반점은 빠르게 자라며, 스펀지처럼 부드럽고 고무 같은 느낌의 돌출된 혹으로 변합니다. 이후 혈관종은 휴지기에 들어가고, 서서히 사라지기 시작합니다. 많은 혈관종은 5세까지 사라지며, 대부분은 10세까지 없어집니다. 혈관종이 사라진 후에는 피부가 약간 변색되거나 약간 올라와 있을 수 있습니다."
고혈압,"두통, 가슴 통증, 어지러움, 그리고 집중력 저하가 있습니다."
알레르기,"알레르기 증상은 원인 물질에 따라 기도, 부비동 및 비강 통로, 피부, 소화 시스템에 영향을 미칠 수 있습니다. 알레르기 반응은 경증에서 중증까지 다양할 수 있으며, 심한 경우 생명을 위협하는 아나필락시스 반응을 유발할 수 있습니다. 건초열, 즉 알레르기 비염은 다음과 같은 증상을 유발할 수 있습니다: - 재채기 - 코, 눈 또는 입천장의 가려움 - 콧물 또는 코막힘 - 눈물, 붉거나 부은 눈 (결막염) 음식 알레르기는 다음과 같은 증상을 유발할 수 있습니다: - 입안의 따끔거림 - 입술, 혀, 얼굴 또는 목의 부기 - 두드러기 - 아나필락시스 곤충 침 알레르기는 다음과 같은 증상을 유발할 수 있습니다: - 침 맞은 부위의 큰 부기 (부종) - 전신의 가려움이나 두드러기 - 기침, 가슴 답답함, 쌕쌕거림 또는 호흡 곤란 - 아나필락시스 약물 알레르기는 다음과 같은 증상을 유발할 수 있습니다: - 두드러기 - 가려운 피부 - 발진 - 얼굴 부기 - 쌕쌕거림 - 아나필락시스 아토피 피부염, 즉 습진이라고도 "
위장염,"구토, 눈이 움푹 들어감, 설사"
황달,"가려움, 구토, 피로, 체중 감소, 고열, 피부의 황달, 짙은 색 소변, 복통"
고혈압,지난 며칠 동안 두통이 계속되고 있습니다. 관자놀이 부근에 날카로운 통증이 느껴집니다. 또한 가슴 통증과 어지러움도 있습니다.
감기,"연속적인 재채기, 오한, 피로, 기침, 고열, 두통, 림프절 부종, 권태감, 가래, 목의 자극, 눈의 충혈, 부비동 압박, 콧물, 코막힘, 가슴 통증, 후각 상실, 근육통"
위 마비증,"위마비의 징후와 증상에는 다음이 포함됩니다: 구토, 메스꺼움, 복부 팽만감, 복통, 소량의 음식을 먹은 후에도 느끼는 포만감, 몇 시간 전에 섭취한 소화되지 않은 음식의 구토, 위산 역류, 혈당 수치 변화, 식욕 부진, 체중 감소 및 영양실조. 많은 위마비 환자들은 눈에 띄는 징후나 증상을 경험하지 않을 수도 있습니다."
장티푸스,"오한, 구토, 피로, 고열, 두통, 메스꺼움, 변비, 복통, 설사, 중독성 외양(장티푸스), 복부 통증"
말초 동맥 질환,"말초 동맥 질환을 가진 많은 사람들은 증상이 경미하거나 아예 없는 경우가 많습니다. 일부 사람들은 걸을 때 다리에 통증을 느끼기도 하는데, 이를 파행이라고 합니다. 파행의 증상으로는 운동 중에 시작되어 휴식을 취하면 사라지는 다리나 팔의 근육 통증 또는 경련이 있습니다. 이러한 통증은 주로 종아리에서 느껴지며, 경미한 통증에서 심한 통증까지 다양합니다. 심한 다리 통증은 걷거나 다른 신체 활동을 하는 데 어려움을 줄 수 있습니다. 다른 말초 동맥 질환의 증상으로는 다음과 같은 것들이 있습니다: 한쪽 다리나 발이 다른 쪽과 비교했을 때 차가운 느낌 다리의 무감각 또는 약화 다리나 발에서 맥박이 느껴지지 않거나 약하게 느껴짐 걷거나 계단을 오르는 등의 특정 활동 후에 한쪽 또는 양쪽 엉덩이, 허벅지, 종아리 근육에 발생하는 고통스러운 경련 다리 피부가 반짝거림 다리 피부 색깔 변화 발톱 성장 속도가 느려짐 발가락, 발, 다리에 잘 낫지 않는 상처 팔을 사용할 때, 예를 들어 뜨개질, 글쓰기 또는 다른 손작업"
알레르기,"재채기가 멈추지 않고, 몸이 떨리며, 눈물이 흐릅니다."
정자 수 감소,"정자 수가 적다는 주된 징후는 임신이 어려운 것입니다. 다른 명백한 징후나 증상이 없을 수도 있습니다. 일부 남성의 경우, 유전적 염색체 이상, 호르몬 불균형, 고환 정맥 확장 또는 정자의 통로를 막는 상태와 같은 근본적인 문제가 징후와 증상을 유발할 수 있습니다. 정자 수 감소의 증상은 다음과 같을 수 있습니다: 성 기능 문제, 예를 들어 성욕 감소 또는 발기 유지의 어려움(발기부전), 고환 부위의 통증, 부기 또는 덩어리, 얼굴이나 신체의 털 감소 또는 염색체나 호르몬 이상을 나타내는 다른 징후."
에이즈,"근육 소모, 목의 반점, 고열, 혼외 접촉"
말라리아,지난 며칠 동안 몸이 많이 안 좋았습니다. 고열이 나고 오한이 들며 심한 가려움증이 있습니다. 구토를 하고 땀도 많이 흘리고 있습니다. 두통이 있고 근육통도 있습니다.
진균 감염,"제 피부가 정말 가렵고 가끔 발진이 생깁니다. 또한 피부의 일부가 다른 부위와 색이 다른 이상한 부분이 있고, 때때로 작은 결절처럼 보이는 작은 돌기가 생기기도 합니다."
다계통 위축증,"다계통 위축증(MSA)은 신체의 여러 부분에 영향을 미치는 질환입니다. 증상은 보통 성인기에 시작되며, 대개 50대나 60대에 나타납니다. MSA는 파킨슨형과 소뇌형 두 가지 유형으로 나뉘며, 진단 시 나타나는 증상에 따라 유형이 결정됩니다. **파킨슨형 MSA** 이 유형은 MSA 중 가장 흔한 형태입니다. 파킨슨병과 유사한 징후와 증상이 나타나며, 다음과 같은 것들이 포함됩니다: - 근육 경직 - 팔과 다리를 구부리기 어려움 - 느린 움직임(서동증) - 떨림: 휴식 중이거나 팔이나 다리를 움직일 때 발생할 수 있음 - 목소리가 작아짐 - 자세와 균형에 문제 **소뇌형 MSA** 주요 징후와 증상은 근육 조정 문제(운동실조)이며, 다음과 같은 것들이 포함될 수 있습니다: - 불안정한 걸음걸이와 균형 상실 등 운동 및 조정 능력 저하 - 발음이 어눌하고 느리거나 목소리가 작아짐(구음장애) - 시각 장애: 흐릿한 시야, 복시 및 초점 맞추기 어려움 - 삼키기(연하곤란) 또는 씹기 어려움 - 발음 변화, 예"
슬와 동맥 동맥류,"슬와동맥류는 눈에 띄는 증상을 일으키지 않을 수 있습니다. 첫 번째 증상은 보행 시 발생하는 하퇴부 통증(파행)일 수 있습니다. 슬와동맥류의 다른 징후 및 증상으로는 다음이 포함됩니다: - 무릎 통증 - 하퇴부 통증 - 무릎 뒤쪽의 부기 - 무릎 뒤쪽의 맥박감 원인 동맥류는 동맥벽의 약한 부분이 부풀어 오르는 현상입니다. 슬와동맥벽이 약해지는 원인으로는 여러 가지가 있습니다. 여기에는 다음이 포함됩니다: - 동맥 경화증(혈관 막힘) - 고혈압 - 무릎 관절의 반복적인 사용으로 인한 슬와동맥의 마모 - 동맥벽의 약화 위험 요인 슬와동맥류는 드물게 발생하며, 남성에게서 더 흔하게 나타납니다. 슬와동맥류는 복부 대동맥류(AAA)와 함께 발생하는 경우가 많습니다. 복부 대동맥류는 신체의 주요 동맥(대동맥) 벽이 부풀어 오르는 현상입니다. 슬와동맥류로 진단된 사람은 AAA에 대한 검사를 받아야 합니다. 슬와동맥류의 다른 위험 요인으로는 다음이 포함됩니다: - 나이 증가 - 고혈압 - 흡연 - 심장 판막 협착증 -"
경추 척추증,허리 통증이 있고 기침을 하며 팔과 다리에 힘이 없습니다. 목도 아프고 어지러움과 균형 감각의 이상을 느끼고 있습니다.
편두통,"속쓰림, 소화불량, 두통, 흐릿하고 왜곡된 시야, 과도한 허기, 목의 뻣뻣함, 우울감, 짜증, 시각 장애"
마비 뇌출혈,"구토, 두통, 신체 한쪽의 무력감, 의식 변화"
기관지 천식,"피로, 고열, 호흡 곤란, 가족력, 점액성 가래"
소화성 궤양 질환,"저는 특정 음식, 특히 매운 음식이나 산성 음식 섭취 후에 복통이 있습니다. 가끔 설사도 있습니다. 몸을 구부리거나 누우면 복통이 더 심해집니다."
입술암,"입술암의 징후와 증상에는 다음과 같은 것들이 포함됩니다: 입술에 평평하거나 약간 돌출된 흰색 변색, 잘 낫지 않는 입술의 상처, 입술이나 입 주변 피부의 따끔거림, 통증 또는 무감각."
골관절염,"관절 통증, 목 통증, 무릎 통증, 관절 부기, 걷기 시 통증"
기관지 천식,"피로, 기침, 고열, 호흡 곤란, 점액성 가래"
수두,"가려움, 피부 발진, 피로, 무기력, 두통, 식욕 부진, 미열, 림프절 부종, 권태감, 몸에 붉은 반점"
당뇨병성 혼수,당뇨병성 혼수 상태가 발생하기 전에 고혈당 또는 저혈당 증상이 나타날 수 있습니다. 고혈당 (혈당 수치가 너무 높은 경우) - 갈증 증가 - 잦은 소변 - 시야 흐림 - 피로감 또는 무기력 - 두통 - 메스꺼움 및 구토 - 호흡 곤란 - 복통 - 과일 향의 입 냄새 - 매우 건조한 입 저혈당 (혈당 수치가 너무 낮은 경우) - 몸 떨림 - 불안감 - 피로감 또는 졸림 - 무기력 - 땀 흘림 - 배고픔 - 피부에 따끔거림 - 어지러움 또는 현기증 - 두통 - 말하기 어려움 - 시야 흐림 - 혼란 - 의식 상실 특히 오랜 기간 당뇨병을 앓은 사람들은 저혈당 무감지증이라는 상태가 발생할 수 있습니다. 이는 혈당이 떨어질 때 경고 증상이 나타나지 않는 것을 의미합니다. 고혈당 또는 저혈당 증상이 나타나면 즉시 혈당을 측정하세요. 검사 결과에 따라 당뇨병 치료 계획을 따르세요. 증상이 빨리 나아지지 않거나 악화되면 즉시 의료 도움을 받으세요.
요로 감염,"배뇨 시 작열감, 방광 불편감, 지속적인 요의"
주기성 구토 증후군,주기성 구토 증후군의 증상은 종종 아침에 시작됩니다. 주요 증상으로는 다음과 같은 것들이 있습니다: - 비슷한 시간에 시작되어 유사한 기간 동안 지속되는 세 번 이상의 반복적인 구토 에피소드 - 에피소드 사이에 일반적으로 건강한 상태를 유지하며 메스꺼움이 없는 기간 - 에피소드가 시작되기 전의 강한 메스꺼움과 발한 구토 에피소드 동안 나타날 수 있는 다른 증상으로는 다음이 포함될 수 있습니다: - 복통 - 설사 - 어지러움 - 빛에 대한 민감성 - 두통 - 구역질 또는 헛구역질
연쇄상구균 인두염,"연쇄상구균 인두염(편도염)은 주로 목의 통증과 삼키기 어려움을 유발합니다. 이 질환의 사진에서는 감염으로 인해 염증과 붉은 반점이 나타나는 것을 볼 수 있습니다. 연쇄상구균 인두염의 징후와 증상은 다음과 같습니다: - 갑작스럽게 시작되는 목의 통증 - 삼킬 때의 통증 - 붉고 부어오른 편도, 때때로 흰 반점이나 고름 줄기가 보임 - 입천장 뒤쪽의 작은 붉은 반점 (연구개 또는 경구개) - 목의 림프절이 부어오르고 압통이 있음 - 발열 - 두통 - 발진 - 메스꺼움 또는 구토, 특히 어린 아이들에게서 흔함 - 몸살 이러한 징후와 증상을 많이 경험하더라도 연쇄상구균 인두염이 아닐 수 있습니다. 이러한 증상들은 바이러스 감염이나 다른 질환에 의해 발생할 수도 있습니다. 따라서 의사는 일반적으로 연쇄상구균 인두염 여부를 확인하기 위한 검사를 실시합니다. 또한, 증상이 없는 연쇄상구균 보균자와 접촉할 가능성도 있습니다."
심장마비,"구토, 호흡 곤란, 가슴 통증"
요로 감염,"배뇨 시 작열감, 방광 불편감, 소변의 악취, 지속적인 소변 마려움"
경추 척추증,"한동안 허리 통증을 겪어왔는데, 최근에 더 심해졌습니다. 또한, 잘 낫지 않는 기침이 있고 팔과 다리에 힘이 빠지는 느낌이 듭니다. 목도 아프고 어지러우며 균형을 잡기 어려운 상태입니다."
이형 치질,"변비, 배변 시 통증, 항문 부위 통증, 혈변, 항문 부위 자극"
수두,저는 정말 피곤하고 기운이 없습니다. 눈을 간신히 뜨고 있을 정도입니다. 열이 나고 아무것도 먹고 싶지 않습니다. 식욕이 떨어진 것 같아요.
진균 감염,"가려움, 피부 발진, 결절성 피부 발진, 색소 침착 반점"
이형 치질,"변비, 배변 시 통증, 혈변, 항문 자극"
밀 알레르기,"어린이나 성인이 밀 알레르기가 있는 경우 밀을 포함한 음식을 섭취한 후 몇 분에서 몇 시간 내에 증상이 나타날 수 있습니다. 밀 알레르기의 증상은 다음과 같습니다: - 입이나 목의 부기, 가려움 또는 자극 - 두드러기, 가려운 발진 또는 피부 부기 - 코막힘 - 두통 - 호흡 곤란 - 복통, 메스꺼움 또는 구토 - 설사 아나필락시스 일부 사람들에게 밀 알레르기는 생명을 위협하는 반응인 아나필락시스를 유발할 수 있습니다. 밀 알레르기의 다른 증상 외에도 아나필락시스는 다음과 같은 증상을 유발할 수 있습니다: - 목의 부기 또는 조임 - 가슴 통증 또는 조임 - 심한 호흡 곤란 - 삼키기 어려움 - 창백하거나 푸른 피부색 - 어지러움이나 실신 이러한 증상이 나타나면 즉시 의료 도움을 받아야 합니다."
소화성 궤양 질환,"저는 밤에 잠을 설칠 정도로 복통이 있습니다. 화장실을 다녀온 후에는 피곤해지고, 식욕도 없습니다. 항상 걱정이 많습니다."
폐렴,"오한, 피로, 기침, 고열, 호흡 곤란, 발한, 권태감, 가래, 흉통, 빠른 심박수, 녹슨 색의 가래"
건선,제 피부에 가렵고 불편한 발진이 있습니다. 발진은 붉고 비늘처럼 벗겨지는 상태입니다. 이 발진은 가슴과 복부를 포함한 다른 부위로도 퍼지고 있습니다. 또한 피부가 벗겨지는 증상도 겪고 있습니다.
소화성 궤양 질환,"입 안에서 신맛이나 산성 맛이 납니다. 트림이 자주 나오고, 상복부에 압박감이나 팽만감이 몇 시간 동안 지속됩니다. 식사할 때 상복부 통증이 더 심해집니다."
고혈압,"두통, 가슴 통증, 어지러움, 균형 감각 상실, 집중력 저하"
수두,온몸에 발진이 생겼습니다. 가려움이 심하고 몸 상태도 매우 좋지 않습니다.
양성 전립선 비대증,"전립선 비대증(BPH)의 일반적인 증상에는 다음과 같은 것들이 있습니다: 소변을 자주 보거나 급하게 봐야 하는 필요성, 특히 밤에 소변을 자주 보는 경우, 소변을 시작하는 데 어려움, 약한 소변 줄기 또는 소변 줄기가 끊어졌다 이어지는 경우, 소변 후 방울방울 떨어지는 증상, 방광을 완전히 비우지 못하는 느낌 등이 있습니다. 덜 흔한 증상으로는 요로 감염, 소변을 전혀 볼 수 없는 경우, 소변에 피가 섞이는 경우가 있습니다. BPH의 증상은 시간이 지남에 따라 서서히 악화되는 경향이 있지만, 때로는 증상이 그대로 유지되거나 오히려 개선되기도 합니다. 전립선의 크기가 항상 증상의 심각성을 결정하는 것은 아닙니다. 약간 커진 전립선을 가진 사람도 심각한 증상을 겪을 수 있으며, 반대로 매우 커진 전립선을 가진 사람도 경미한 문제만 겪을 수 있습니다. 또한, 전립선이 커진 사람 중 일부는 전혀 증상을 겪지 않을 수도 있습니다. 다른 가능한 요인으로 인한 배뇨 증상도 있습니다. 이러한 증상은 전립선 비대증과 유"
듀피트렌 구축증,"듀피트렌 구축은 수년에 걸쳐 서서히 악화되는 질환입니다. 이 질환은 손바닥에 단단한 결절이 생기면서 시작됩니다. 이 결절은 약간의 압통이 있을 수 있지만, 대개 통증을 유발하지는 않습니다. 시간이 지나면서 이 결절은 피부 아래에서 단단한 끈처럼 변하여 손가락 쪽으로 이어질 수 있습니다. 이 끈은 점점 조여지면서 손가락을 손바닥 쪽으로 당기게 되며, 때로는 심각하게 굽힐 수 있습니다. 듀피트렌 구축은 주로 엄지에서 가장 먼 두 손가락에 영향을 미치며, 종종 양손에 발생할 수 있습니다."
건선,"피부 발진, 관절 통증, 피부 벗겨짐, 은빛 가루 같은 증상, 손톱의 작은 함몰"
감기,최근에 몸이 많이 안 좋습니다. 재채기를 자주 하고 코가 계속 흐릅니다. 목도 많이 따갑고 피곤함을 많이 느끼고 있습니다.
진균 감염,"온몸에 매우 가려운 발진이 있습니다. 발진은 붉고 울퉁불퉁하며, 일부는 색이 짙어진 부분도 있고 작은 결절성 발진도 몇 군데 있습니다. 이러한 증상이 며칠째 계속되고 있으며 점점 악화되고 있습니다."
경추 척추증,"허리 통증, 목 통증, 어지러움, 균형 감각 상실"
태아 알코올 증후군,"태아 알코올 증후군의 증상은 심각도가 다양하며, 일부 아이들은 다른 아이들보다 훨씬 더 심각한 증상을 경험할 수 있습니다. 태아 알코올 증후군의 징후와 증상은 신체적 결함, 지적 또는 인지적 장애, 일상생활에서의 기능 및 대처 문제의 조합으로 나타날 수 있습니다.  신체적 결함 신체적 결함에는 다음과 같은 것들이 포함될 수 있습니다: - 작은 눈, 매우 얇은 윗입술, 짧고 위로 향한 코, 코와 윗입술 사이의 매끄러운 피부 표면 등 독특한 얼굴 특징 - 관절, 팔다리 및 손가락의 기형 - 출생 전후의 느린 신체 성장 - 시력 문제나 청력 문제 - 작은 머리 둘레와 뇌 크기 - 심장 결함 및 신장과 뼈의 문제  뇌와 중추 신경계 문제 뇌와 중추 신경계의 문제는 다음과 같은 것들을 포함할 수 있습니다: - 조정력 부족 또는 균형 문제 - 지적 장애, 학습 장애 및 발달 지연 - 기억력 저하 - 주의력 문제 및 정보 처리의 어려움 - 추론 및 문제 해결의 어려움 - 선택의 결과를 식별하는 데 어려움 - 판단력 "
경추 척추증,"허리 통증, 팔다리의 무력감, 목 통증, 어지러움, 균형 감각 상실"
감기,"연속적인 재채기, 피로, 기침, 고열, 두통, 림프절 부종, 권태감, 가래, 목 자극, 눈의 충혈, 부비동 압박, 콧물, 코막힘, 흉통, 후각 상실, 근육통"
심인성 쇼크,"심인성 쇼크의 징후와 증상은 다음과 같습니다: 빠른 호흡, 심한 호흡 곤란, 갑작스럽고 빠른 심장 박동(빈맥), 의식 상실, 약한 맥박, 저혈압, 발한, 창백한 피부, 차가운 손이나 발, 소변량 감소 또는 무뇨. 심인성 쇼크는 보통 심각한 심장마비를 겪고 있는 사람들에게 발생하기 때문에, 심장마비의 징후와 증상을 아는 것이 중요합니다. 이러한 증상에는 다음이 포함됩니다: 몇 분 이상 지속되는 가슴 중앙의 압박감, 꽉 조이는 느낌 또는 통증, 어깨, 한쪽 또는 양쪽 팔, 등, 심지어 치아와 턱으로 퍼지는 통증, 증가하는 가슴 통증의 빈도, 호흡 곤란, 발한, 어지러움 또는 갑작스러운 현기증, 메스꺼움과 구토. 이러한 징후나 증상이 나타나면 심인성 쇼크의 위험을 줄이기 위해 신속하게 의료진의 도움을 받으세요."
편두통,"속쓰림, 소화불량, 두통, 시야 흐림 및 왜곡, 목의 뻣뻣함, 우울감, 과민성, 시각 장애"
장티푸스,"오한, 구토, 피로, 고열, 두통, 변비, 복통, 설사, 중독 증상(장티푸스), 복부 통증"
폐렴,숨쉬기가 힘들고 매우 불편합니다. 목에 가래가 가득 차 있고 땀이 많이 납니다. 심장이 빠르게 뛰고 가슴이 아픕니다. 붉은색 점액이 섞인 기침을 하고 있습니다.
