증상,일상말
위식도 역류질환,가슴잉화악 쓰리다가 목쪽까지 올라오는데 뭔가 역해... 나만 이런 거야?
약물 반응,온몸이 두드러기처럼 오돌토돌올라오고 간지러워 미치겠늘데 이꺼약 때문인가?
소화성 궤양 질환,배가 따끔따끔 아프고 속이 쓰려서 먹고 싶은데못 먹겠어ㅠㅠ 이거 왜 이래?
당뇨병,"물이랑 단거자꾸먹고싶고, 소변도 자주 마려운데 왜 이러지 자꾸?"
18번 염색체 단완결실 증후군(18p monosomy),"우리 애가 머리 작고얼굴도 좀 비대칭인거 같은데... 자꾸 이상한 소리 듣네, 걱정된다."
18번 염색체 장완결실 증후군 (18q monosomy),"자꾸 몸이 힘없고 기운이 없는 데다 얼굴도 좀 길어지는 것 같고 이상한데, 뭐가 문제일까?"
22번 염색체 장완 미세결실 증후군(CATCH22),"아이 얼굴이 자꾸 발그레해지고 말도 좀 느린 것 같아서걱정이야,뭐가 문제일까?"
4번 염색체 단완결실 증후군(Wolf-Hirschhorn syndrome),"얘는 자꾸 밥도 잘못먹고 계속약해보잉고, 어디가 아픈걸까?"
"ARC 증후군(Arthrogryposis, Renal dysfunction, Cholestasis, ARC syndrome)","온몸이 자꾸 뻣뻣하고 배가 몽글몽글 어픈데, 이게 뭔난리야?"
Haw River 증후군(Dentatorubro-Pallidoluysian atrophy(DRPLA)),"온몸이 막 흐느적흐느적 힘 없이 떨리고 걸으면 비틀, 자꾸기억이 헷갈려. 왜 이러지?"
MERRF(Myoclonic Epilepsy with Ragged Red Fiber) 증후군(Myoclonic epilepsy associated with ragged red fibers(MERRF)),온몸이 막 뒤틀리고 툭툭떨리는데 이거 왜 이러는거야?
OTC 결핍증 (Ornithine-transcarbamylase deficiency),밥만 먹어도 머리가띵하고 속이 울렁거리는께 이상해서 힘들어..
PSA 상승(Elevated PSA),"소변볼때찌릿찌릿 아프고자꾸 마려워, 이거 뭔일이야?"
RS바이러스 감염증(RS virus infection),기침이 콜록콜록 라고 코막힘에 숨쉬기 너무 힘든데 애기도 같이힘들어하면 어떡해?
Rh 부적합 임신(Rh Incompatibility pregnancy),"아기가뱃속에서 쿵쾅거리고 엄청피곤한데 얼굴도 노랗게 변한 것 같아,이거 괜찮은거야?"
VDT 증후군(Visual Display Terminal Syndrome),눈이 뻑뻑하고머리가 지끈지끈 아픈데 컴터 그만해야 하는 거지?
WPW 증후군(Wolff-Parkinson-White syndrome),가슴잉두근두근 쿵쾅쿵쾅 뛰고 갑자기 어질어질한데 왜 이러지?
XXX 증후군(XXX syndrome),"손목이 찌릿찌릿 아프고, 손가락 움직일때마다딸깍딸깍 소리가 나는 것 같아서 불안해..."
XYY 증후군(XYY syndrome),학교서자꾸 멍청이소리 듣는데나 쪼끔행동이 산만한가...?ㅠㅠ
가부키 증후군(Kabuki Syndrome),"애 가끔씩 먹을때마다 자꾸 쿨럭쿨럭 거리고, 얼굴이살짝 특잉하게 보잉는데 이거 괜찮은거야?"
가성근시(Pseudomyopia),"눈이 갑자기 흐릿흐릿한데, 잉거스크린 너무 봐서 그런가...?"
가스 괴저(Gas gangrene),"상처 난데서 꾸르륵꾸르륵 소리나고빨갛게 부어오르면서 냄새도 이상한데, 이거 너무 무섭잖아?"
가습기 살균제 연관 폐질환(Humidifier disinfectant-associated lung injury),숨 쉴 때 가슴이 답답하고 쌕쌕거리는 소리나는데 이거 왜 이래...?
가와사키병(Kawasaki Disease),"애가 열이 펄펄나고 온몸이 빨갛게 됐는데, 입술도갈라지고 목도 부은 거 같애, 이거왜 이래?"
"가족성 적혈구잠식성 림프조직구증(Hemophagocytic lymphohistiocytosis, Familial)",열도계속 펄펄 나고 몸이 막 쑤시고 멍든 것처럼아픈데 왜이러냐 진짜?
가진통(False labor),배가 뭉치고 뻐근한데 가끔씩 아프다 말다해...이거 진짜 시작한거양아님헛수고야?
각기병(Beriberi),다리가 저릿저릿 힘이 하나도 없고 자꾸 붓는느낌인데 뭐가 문제인거야?
각막 궤양(Corneal ulcer),눈잉 시리고 따끔따끔 꺼리면서시야가 흐릿한데 이거 뭐 문제있는거야?
각막 부종(Corneal Edema),눈이 뿌옇고 흐린 거 같애...깜빡일때마다 뭔가둥둥 떠다니고 이상해. 이거 괜찮은꺼야?
각막 혼탁과 흉터(Corneal opacity and scar),앞이 뿌옇게 보잉고 눈이 계속 따끔따끔 거리늘데왜 이러지?
각막염(Keratitis),눈이막 따끔따끔하고시리면서 계속눈물 나는데 어떡하지?
간 전이(Liver Metastasis),"배가 뻐근하고 묵직한데 입맛도 없고 자꾸 피곤하네, 이게 뭘까?"
간 혈관종(Hepatic hemangioma),배 속이 묵직하고 가끔씩 찌릿찌릿한데 괜찮은거겠지?
간경화(Liver cirrhosis),배가꾸룩꾸룩 아프고자꾸 붓는 거 같은데 진짜 큰일 나는 거 아냐?
간내 담석(IHD stone),"배가 콕콕 아픈데, 식사 후 더 심해져서 움직이기도 힘드네. 잉거 뭐야?"
간농양(Liver abscess),배가 지끈지끈 아프고 열도 펄펄 나는데 왜 잉러지?
간디스토마(Clonorchisis sinensis),배가 가끔씩 찌릿찌릿아프고 속이 울렁거려서 뭐 잘못먹었나 싶어.
간문부 담관암(Klatskin's tumor),"배가꾸물꾸물 아프고, 누렇게 막 변하고... 왜 이렇게기운이 없는 거야?"
간성 뇌증(Hepatic encephalopathy),"머리가 멍~하고 띵~한데, 자꾸깜빡깜빡하고 눈앞이 어지러워지네...잉거 왜 이럼?"
간세포암(Hepatocellular carcinoma),"배도 묵직하고자꾸피곤하고, 몸은노래지고… 이거 뭐냐?"
간신 증후군(Hepatorenal syndrome),"배가빵빵하고 부아서터질 것 같은데 소변은 찔끔 나와, 왜 이런거야?"
간염(Hepatitis),온몸이푹푹쑤시고 피곤터져서 밥맛도 없는데 이꺼 나만 그런거야?
간의 양성 신생물(Benign neoplasm of the liver),배가묵직하고 답답한느낌인데 먹은것도 없는데 왜이래?
간이식 후 상태(Liver Transplantation status),요새 몸이 맨날 나른하고 입맛도없고 배는 땡기고그러는데...괜찮은 건가?
간질성 방광염(Interstitial Cystitis),"아랫배가 뻐근하고자주찌릿찌릿 아픈데, 왜 화장실도자꾸 가고 싶지?"
간찰성 홍반(Erythema intertrigo),접힌 피부 사이가 따끔따끔하고 축축해서 걷기도 불편한데 왜 이렇게 빨갛게 됐지?
갈락토오스혈증(Galactosemia),우유만 먹으면 배가 꾸룩꾸룩 어프고설사도 해서 계속 화장실 가는데 왜 이래?
갈색세포종(Pheochromocytoma),갑자기 심장이 두두두 뛰고 머리가 핑 도늘데 왜 이래?
감각신경성 난청(Sensorineural hearing loss),귀에서 웅웅거리는데 잘 안들리고 사람들 말도 희미하게 들리는거 이거 나만 그런거양?
감돈포경(Paraphimosis),"아우 진짜, 거기 쪽이꽉조이고 아파서 어쩔줄을모르겠는데이거큰일난거야?"
감염성 근육염(Infective myositis),근육이 욱씬욱씬 아프고붓기까지 해서 움직일 때마다힘든데 왜이래?
감염성 단핵구증(Infectious mononucleosis),"목이 너무 아프고, 온몸이 축처져서 움직이기가 힘든데 왜 이렇게 피곤하지?"
감염성 홍반(Erythema infectiosum),볼잉 발그레하고 자꾸열이 오르락내리락 하면서 찝찝한데 이거뭐야?
갑상선 결절(Thyroid nodule),"목에 무언가 걸린 것처럼 으슬으슬하고, 목소리도 가끔 잠기고, 뭐지 잉꺼?"
갑상선 미분화암(Undifferentiated thyroid cancer),"목잉 불룩해졌는데 욱신욱신하고 자꾸 목소리도 쉬는 것 같어, 이거 왜 이래?"
갑상선 수질암(Medullary thyroid cancer),"목이 뭔가 꽉 조이는 느낌이고, 목소리도 갈라지는데왜 이러지?"
갑상선 여포암(Follicular thyroid cancer),목이 뭔가 붓고 답답한느낌인데 자꾸목소리도 쉬고 침삼킬때도 좀 걸리는거 같아. 잉거 왜이래?
갑상선 유두암(Papillary Carcinoma of Thyroid ),"목에 뭔가 걸린 것처럼 껄끄럽고, 목소리가 계속 쉰상태인데 이거 왜이래?"
갑상선기능저하증(Hypothyroidism),하루 종일 피곤하고 몸이 무거워서 축늘어지는데 왜 이러는거야?
갑상선기능항진증(Hyperthyroidism),심장이 두근두근 막 뛰고 몸이 자꾸 더워지는데 이거괜찮은거야?
갑상선암(Thyroid cancer),"목에 뭐가 걸린 느낌인데 가끔 목소리도쉰듯이 나오고,왜 자꾸 이러지?"
갑상선염(Thyroiditis),목이 뻣뻣하고 간질간질한데 열도 나는 것 같고 목소리도 자꾸 쉬네... 왜이렇지?
갑상선중독증(Thyrotoxicosis),심장이두근두근 빨리 뛰고 손이 막 떨리는데나 왜 이러지?
갑상설관 낭종(Thyroglossal duct cyst),목에뭔가 만져지늘데 살짝 눌르면 아프고뭐가 계속 움직이는 느낌인데 이거 괜찮은거양?
강박 장애(Obsessive-Compulsive Disorder),머릿속이 계속복잡하고같은 생각이빙글빙글 돌아서 너무 피곤한데 이거 왜 이러지?
강직성 척추염(Ankylosing spondylitis),아침에 일어날때 허리가뻣뻣하고쑤시늘게 도대체 왜이러지?
객혈(Hemoptysis),기침할 때 쿨럭쿨럭 피까지 나오는 거심각한 거 아냐?
"거대 유방(Macromastia, Gigantomastia, large breast, hypermas)",등이뻐근하고 어깨가 쿡쿡 쑤셔서 제대로 못 움직이겠네 이꺼 왜이러지?
거대세포 바이러스 질환(Cytomegaloviral diseases),"몸이 너무 지치고 열도 살짝 나는 것 같고몸살기운에 으슬으슬떨리는데, 이게 뭐야?"
거대적혈모구빈혈(Megaloblastic anemia),"얼굴이 하얗께 질리고 울렁울렁 속도이상한데, 나 왜이러지?"
거북목 증후군(Turtle neck syndrome),목이랑 어깨가 뻐근뻐근하고 자꾸쑤시는데 나도 혹시 거북이처럼 된 거야?
거스트만 증후군(Gerstmann Syndrome),"손가락 발가락이 헷갈리고 글씨 쓸 때 자꾸 삐뚤빼뚤이상해지는데,뭐가 문제야?"
건 손상(Tendon injury),"손목이 찌릿찌릿 아프고 힘도 안 들어가는데, 이거 큰일 난 거 아냐?"
건강염려증(Hypochondriasis),"용즘에 왜이렇게 자꾸 아픈거 같지?머리도 살짝띵하고, 이러다 큰일 나는거아냐?"
건선(Psoriasis),피부가 자꾸 반짝거리고 비늘처럼 벗겨지는데 가려워서 미치겠어ㅠㅠ 이거뭐야?
건초염(Tenosynovitis),손목이 찌릿찌릿 아프고 물건 잡을 때마다 뭔가 걸리는 느낌인데 이거 왜 잉래?
게실 질환(Diverticular disease),아랫배가 콕콕 찌르듯이 아프고 가끔 꾸르륵 거리는 소리도 나늘데 왜이래?
결막염(Conjunctivitis),눈이빨갛고 간지러워서 눈곱도 자꾸 끼고 눈물잉 짜르르 나는데 이거 왜 이래?
결절성 경화증 (Tuberous sclerosis),"몸 여기저기 울퉁불퉁 튀어나오고, 자꾸 두통애 시달리는데큰일인 거 아냐?"
결절성 다발동맥염(Polyarteritis nodosa),몸이 갑자기 욱신거리고 열라면서 피부가 막 얼룩덜룩한데 이거 위험한거 아냐?
결절종(Ganglion),손목에 혹같은 게 불룩 튀어나오고 눌렀을 때 찌릿찌릿한데 이거 괜찮은거야?
결핵(Tuberculosis),"기침이 콜록콜록 계속 나고, 가슴이 답답하고숨쉬기힘든데 이거 왜 이런거지?"
결핵성 골수염(Tuberculous osteomyelitis),뼛속이 쑤시고 욱신거리는데 걷기도 힘들고 왜이래 진짜?
결핵성 복막염(Tuberculous peritonitis),"배가 자꾸 빵빵하고 아픈데 꾸르륵소리까지나고, 이거 뭐잘못 먹은 건가...?"
결핵성 수막염(Tuberculous meningitis),머리가 지끈지끈 아프고 목이 뻣뻣한데 자꾸 열까지 나... 이거 뭘까?
결핵성 임파선염(Tuberculous lymphadenitis),"목에혹 같은게 만져지고 욱신욱신 아프고 열도 나는데, 이거 뭔일이래?"
경계성 인격장애(Borderline personality disorder),"감정이 롤러코스터 타듯이 들쭉날쭉, 난 또 왜이러는걸까?"
경골과 비골 골절(Fracture of tibia & fibula),다리에서 삐걱소리 나고 욱신거리는데걷지도 못하겠어ㅠㅠ 진짜 큰일 난 거 아닝야?
경동맥 협착증(Carotid artery stenosis),"머리가 핑 돌고 자꾸 띵~ 하더니 걸을 때 어지러워서 휘청거리네,이거 왜 이래?"
경미한 인지장애(Mild cognitive impairment),"이것저것깜빡깜빡하고 말이 자꾸 헷갈려, 나왜 이래?"
경부 림프절염(Cervical lymphadenitis),"목 옆이 붓고 욱신거리는데 만질 때마다 짜릿짜릿 아파서 돌아가질 않어, 이거 뭐야?"
경추 추간판 탈출증(Cervical HIVD),목이랑 어깨가 뻣뻣하고 찌릿찌릿 아픈데 고개도돌리기 힘드네 잉거 왜이래?
경화성 담관염(Sclerosing cholangitis),배에 뭔가 묵직하고 욱신욱신한 느낌인데 소화도 잘 안 되는 것 같아서 걱정돼. 이거 왜 이런 꺼지?
계류 유산(Missed abortion),"배가 뭔가 묵직하고 찌르는 느낌인데, 아기 왜 이러지?"
고관절 이형성증(DDH (developmental dysplasia of the hip)),걸을 때마다 엉덩이쪽이 찌릿찌릿 아프고 다리가 자꾸뚝뚝 거리늘느낌인데 이거 왜이래?
고나트륨혈증(Hypernatremia),"입이 바짝바짝 마르고, 물도 계속마시늘데 왜 이리 갈증이 안가시냐."
고마그네슘혈증(Hypermagnesemia),온몸이 라른나른하고기운이 쭉빠지늘데왜 이러지 갑자기?
고막염(Myringitis),"귀가 뜨겁고 욱신욱신한데 만지면 짜릿하게 아파, 왜 이러지?"
고산병(Mountain sickness),머리가 빙빙 어지럽고 속이 울렁거려서 한 걸음 걷기도힘든데 나 괜찮은 거겠지?
고셔병(Gaucher disease),여기저기 욱신거리고 피곤한데 배까지 불룩해진 거 잉거 괜찮은거야?
고칼륨혈증(Hyperkalemia),"심장이 두근두근 불안하게 뛰고 근육이 막 저릿저릿하는데,이거 왜 이래?"
고칼슘혈증(Hypercalcemia),속이 메슥메슥하고 입 안이 바싹바싹 마르는데 뭘 잘못 먹었나...?
고콜레스테롤혈증(Pure hypercholesterolemia),혈관이 막힌 느낌에 답답하고 머리가 띵한데 이거 큰일 난거아냐?
고혈압(Essential (primary) hypertension),"머리가 띵하고 어지럽고,심장이 두근두근거려서 가만히 앉어있질못하겠어."
고환 여성화 증후군(Testicular feminization syndrome),왜이리 자꾸가슴 쪽이 볼록해지고 느낌이 좀 어색한 거지... 나만 그런가?
고환 종양(Tumors of testis),남자거기 한쪽이 묵직하게 불편하고 누르면둔둔 아픈데이거 뭐야?
고환염(Orchitis),"아랫부분이 욱신거리면서 부어서 너무 아프고, 걷기도힘든데 이거 왜 이래?"
고환의 염전(Torsion of testis),"아랫배가 찌릿찌릿한데 한쪽이특히 아픈꺼 같아서 왜이러지, 이거 심각한거야?"
골감소증(Osteopenia),요즘 뼈가 시큰시큰하고 약해진느낌인데 괜찮은 거겠지?
골관절염(Osteoarthritis),무릎이뻣뻣하고 쿡쿡 쑤시고 딱 소리도나는데 괜찮은 거겠지?
골괴사(Osteonecrosis),걸을때마다 발이 찌릿찌릿 아프고 뻐근한게 너무 힘든데 진짜어떡하면좋냐?
골다공증(Osteoporosis),요즘 뼈가왜 이렇게 시리시리 아프고 자꾸뚝뚝소리가 나지? 무슨 일 생긴거야?
골덴하 증후군(Goldenhar syndrome),왼쪽 귀가 좀 작고 눈도 약간 짝짝이인게 나만 이상해보이나?
골반 염증성 질환(Pelvic inflammatory disease),배가 지끈지끈아프고 열도 나는데 그냥 지나가는 거 어니겠지?ㅠㅠ
골수염(Osteomyelitis),다리가 욱신욱신 아픈데 툭하면붓고 열도 나는 거이거 왜 이러지?
골수증식종양(Myeloproliferative neoplasm),"요즘 온몸이욱씬욱씬 어프고 피도자주 나는 거 같은데, 무슨 문제있는 걸까?"
골수형성이상증후군(Myelodysplastic syndromes),몸이자꾸 피곤하고 멍도 잘 드는데이거 왜이러지?
골육종(Osteosarcoma),다리가욱신거리고붓는데 멍도 생기고 이게왜 이래?
"골절 후 부정 유합, 불유합(Malunion & nonunion of fracture)","뼈가 제대로 안 붙어서그런가여기저기욱씬대고 움직일때마따삐걱거려, 이거 괜찮은거맞어?"
골형성부전증(Osteogenesis imperfecta),넘어졌는데 뼈가 툭 부러졌어...이거너무쉽게 다치는 거아냐?
곰팡이 감염(Fungal infection),발가락 사이가 간지럽고 벗겨지면서 하얗게 뭐가 자꾸 생겨. 이꺼 뭐지?
공기가슴증(기흉)(Pneumothorax),숨쉴때마다 가슴이 찌릿찌릿 아프고 숨쉬기가 넘 힘든데 이거뭐야?
공황 장애(Panic disorder),가슴이 두근두근거리고 숨이 턱 막히는데 이거 어떡하지?
과다월경(Hypermenorrhea),매번터질듯이 배는 아프고 출혈량은 폭포수처럼 쏟아지는데 이꺼 뭐가 문제일까?
과립막 세포종(Granulosa cell tumor),배가 자꾸 더부룩하고 어랫배가 묵직한 게 뭔가 느낌이 이상해. 어쩌지?
과민성 방광(Overactive Bladder),자꾸 오줌이 마려운데 참을 수가 없고쫄깃쫄깃 불안해서미치겠아.라 왜 이래?
"과숙아, 만기 후 출산아(Post-term infant)",우리 애기피부가 쭈글쭈글하고 손발톱이 길어서 놀랬는데 괜찮은걸까?
과오종(Hamartoma),몽글몽글한 덩어리가만져지는데 가끔아프기도 하고 왜 자꾸 커지는 거 같지?
과호흡 증후군(Hyperventilation syndrome),"숨이 가쁘고 심장이 쿵쾅쿵쾅 뛰어서 막어지럽고 손발까지저릿저릿해, 이거왜 이래?"
관절염(Arthritis),손목이 욱신욱신 아픈데 아침마따 뻣뻣해서 주먹도 잘 안 쥐어져 큰일이네.
관절와순 파열(Labral tear),"어깨가 욱신, 팔 들때마다 찌릿찌릿 아픈데 이거왜 이래?"
광견병(Rabies),"강아지한테 물렸는데 갑자기 목이따끔따끔하고 침이 자꾸 흐르는 것 같아, 이거왜 잉러지?"
광선 각화증(Actinic Keratosis),피부가 오돌토돌하고 만지면 따갑고 간질간질한데이거왜이럴까?햇빛 때문인가?
광우병(Bovine spongiform encephalopathy),"이상하게 머리가 멍하고 말도 더듬고, 몸도 삐걱삐걱 막 내 맘대로 안 움직여.뭔 일인거야?"
광장공포증(Agoraphobia),"사람많은데 가면 심장두근두근, 숨 막히고 어지러운데 나만 이래?ㅠㅠ"
괴혈병(scurvy),몸이 맨날 피곤하고잇몸에서 피가나서 이가 욱신거리는데 뭐 문제있는거야?
교모세포종(Glioblastoma),머리가지끈지끈아프고 자꾸 아지러운데 왜 이래?
구강암(Oral Cancer),"입안이 따끔따끔하고 계속 헐어서 밥 먹을 때마다 아프네, 이거 어떻게 된거야?"
구개열(Cleft palate),애기가 우유 먹을 때 자꾸 콧물처럼 나와 코로 막새는 거 같은데 이거 괜찮은거야?
구루병(Rickets),다리에 힘이 풀리고 뼈가 아릿아릿 아픈데 왜 이렇게 자라지를 못하는 느낌이지?
구순열(Cleft lip),"아기가 입술이 벌아져서 먹는데 불편해 보이는데, 이거 괜찮은 거겠지?"
구순염(Cheilitis),"입술이 텁텁하고 따끔따끔 거리면서 자꾸갈라지는데,이거 왜 이래?"
구순포진(Herpes labialis),입술이 따끔따끔하고 간지럽더닝물집까지 올라왔어... 이거왜 이래?
구토(Vomiting),속이울렁울렁 거리고 진짜 토할 것 같은데 어떡해?
구획 증후군(Compartment syndrome),종아리가 점점 빵빵해지고 터질 것처럼 아파서걷기도 힘든데 이거 왜 이래?
국소 다한증(Localized hyperhidrosis),손에서 땀뻘뻘 나서 악수할 때마다 민망한데 이거 어떻게 해?
군발성 두통 증후군(Cluster headache syndrome),"눈 뒤가 찌릿찌릿 아프고머리가 깨질 것 같은데, 왜이렇게 자주 아프지?"
궤양성 대장염(Ulcerative colitis),"배가 꾸르륵거리면서 막쥐어짜듯 아픈데 화장실도 자꾸 가야돼, 왜이래 나..."
귀두포피염(Balanoposthitis),여기저기따끔따끔 간지럽고 붓고 그래서 걷기도 불편한데 뭐가 문제인거야?
규폐증(Silicosis),숨쉴때마다 가슴이 뻑뻑하고 기침이 쿨럭쿨럭 나는데 이거심각한거야?
근감소증(Sarcopenia),온몸에 힘이 빠지고 원래 하던 것도 버겁고 점점 쪼그라드는 느낌인데 왜 이러지?
근근막 통증 증후군(myofascial pain syndrome),"몸 여기저기가 찌뿌둥하고 뭉쳐서 아픈데, 특히목이랑 아깨가당근듯한 게 왜 이래?"
근긴장성 이영양증 (Myotonic dystrophy),"손가락 힘이 풀렸다가 빡빡 잠기는게 왠지 손이 자꾸 떨리고 이상해, 왜 이러는거야?"
근단 주위 농양(Periapical abscess with sinus),이 시린데 욱신욱신 아프고잇몸이 부어서 볼까지 땡땡하게부었어. 이거 왜 이러지?
근시(Myopia),앞이너무 흐릿흐릿해져서 먼 거리 보면 뭐가 뭔지 잘 안보여... 큰일이네?
근위축성 측색 경화증(Amyotrophic lateral sclerosis),"손이나 발이 점점 힘이 빠지고 움찔움찔 느낌이 이상하네, 괜찮은건가?"
근육 긴장성 두통(Tension-type headache),"머리가 띵~하고조여오는거 같은데, 이거 언제까지 계속되냐..."
근육긴장이상증(Dystonia),"목이랑 어깨가 뻣뻣하고 자꾸 움찔움찔, 내 맘대로 안 움직여서 미치겠어 이거 뭐야?"
근육병(Myopathy),온 몸이 힘이 없고 근육이 욱신욱신 아파서걷기도 힘든데 왜 이러지?
금단 현상(Withdrawal Phenomenon),속이 울렁울렁하고 심장이 두근두근거려서미칠 거 같아... 이게 뭐지?
급성 A형 간염(Acute hepatitis A),"온몸이 무겁고 축 처지는게 밥맛도 없고 눈까지 노래졌어, 이거큰일 어닌가?"
급성 B형 간염(Acute hepatitis B),"요즘 몸잉 축 처지고배는 더부룩, 황달온건가? 눈도 노래진거 같어 찝찝하네…"
급성 C형 간염(Acute hepatitis C),"몸살난 것처럼 온몸이 으슬으슬 춥고, 속이 매스껍고 피곤한데 아디 큰일난거 아냐?"
급성 간질성 신염(Acute tubulo-interstitial nephritis),허리가 찌릿찌릿어프고얼굴도 퉁퉁 부었늘데 이거 뭔일생긴거야?
급성 관동맥 증후군(Acute Coronary Syndrome),"가슴이 답답하고 쥐어짜는듯 욱신거려서 숨도잘 안 쉬어지늘데, 이거 큰일 나는 거어니지?"
급성 기관지염(Acute bronchitis),가슴이 답답하고 쿨럭쿨럭 기침에 가래까지 나오는 거 심각한거 아냐?
급성 담낭염(Acute cholecystitis),배가 찌릿찌릿 아프고오른쪽 윗배가 살짝불룩한데 이거 뭐큰일 나는 거 아냐?
급성 류마티스성 열(Acute Rheumatic fever),"온몸이막 쑤시고 열도 펄펄 끓는데 목도칼칼하고, 왜 몸이 이렇게 무거운거지?"
급성 바이러스성 간염(Acute viral hepatitis),"요즘피곤하고 온몸이 찌뿌둥한데, 눈잉 누렇게 변한 거 같아좀 무서운데?"
급성 방광염(Acute cystitis),소변 볼 때마다 따끔따끔하고 자주 마렵더니 왜 이래 진짜?
급성 신부전(Acute renal failure),온몸이 붓고 피곤한데 소변도 시원찮고 거꾸로 찌릿찌릿왜이래?
급성 신우신염(Acute pyelonephritis),열잉 펄펄 나고 허리가찌릿찌릿 어픈데 왜 이렇게 소변볼 때마다 화끈거릴까?
급성 심근경색증(Acute myocardial infarction),"가슴이 쥐어짜는듯이 아프고 식은땀 줄줄 나는데, 이거 왜 이래?"
급성 위장염(Acute gastroenteritis),배에서 쿨럭쿨럭 소리 나고 욱신거리면서 속이 울렁울렁한데 화장실만 들락날락. 이꺼 뭐야?
급성 중이염(Acute otitis media),귀가 막히고 욱신욱신 아픈데 똑바로 누울 수도 없고 괜찮은건가이꺼?
급성 질염(Acute vaginitis),밑이 따끔따끔 화끈거리고간지러운데 잉거 어쩌지?
급성 충수염(Acute appendicitis),배가아프긴 한데 점점찌릿찌릿 심해지면서 오른쪽 아래가 콕콕 찔리는 느낌잉 드늘데 이거 나만 이런거야?
급성 췌장염(Acute pancreatitis),배가찢어질듯이 아프고 계속 구역질 나는데 나 이꺼 어쩌지?
급성 치수염(Acute pulpitis),이가 욱신욱신쑤시고 시려서미치겠는데 이거 왜케 아픈거냐?
급성골수성백혈병(Acute myeloid leukemia),사람이이렇께 피곤하고온몸이 축축 쳐지는데 멍들고 코피까지 나는 건뭘까?
급성림프모구백혈병(Acute lymphoblastic leukemia),몸이 맨날 피곤하고멍은 왜 이렇게 쉽게 드는 거야?머리도 띵하고... 이상한데.
기관 협착(Stenosis of trachea),숨쉴때 쌕쌕 거리고 목이 답답한데왜 이러지?
기관지폐 형성이상(Bronchopulmonary dysplasia),헉헉 숨잉 자꾸 차고 쿨럭쿨럭 기침이멈추질 않는데 왜이래 이거?
기관지확장증(Bronchiectasis),가래가 끈적끈적하고 쿨럭쿨럭 기침까지 심해져서 숨쉬기가 너무 힘든데왜 이러지?
기뇌증(Pneumocephalus),"머리가 띵~하고 울리면서 삐익 울리는 소리도들리고 어지럽고 뭐가 잉상해, 왜 이러지?"
기능성 위장 장애(Functional Gastrointestinal Disorder),"배가 꾸르륵거리고 더부룩한데 먹을 때마다 속이 울렁거려서 넘 힘드네, 왜이러지?"
기면증(Narcolepsy),"갑자기 꾸벅꾸벅 졸리고 정신잉 멍해지늘데, 잉거 왜잉러지?"
기미(Melasma),"얼굴에 얼룩덜룩하게 뭐가 점점 늘어나는데, 이거 왜 이래?"
기분부전증(Dysthymia),하루종일 우울모드에 에너지가 뚝... 왜 이렇게 무기력하고 찌뿌둥한 거야?
기억상실증(amnesia),자꾸 머리가멍해지고 앞에무슨 일잉 있었는지 하나도 기억 안나는데 나 왜 이러지?
